tract,population,white,black,people of color,people per household,median income per household,mean income per household,income per capita,geometry
Cheltenham,491,460,24,31,,,,12298,"POLYGON ((-90.27452604966973 38.62973864829385, -90.27545609067249 38.62514941930123, -90.27569054100702 38.62397164800607, -90.27569654827354 38.62390850326786, -90.28013802223747 38.62339292851206, -90.28805711539546 38.62244742805073, -90.2878835976575 38.62332995599861, -90.28786109772629 38.62344636988089, -90.28782987673631 38.62364769939551, -90.28781677977361 38.62373279931212, -90.28789788615204 38.62440888314665, -90.28793853128163 38.62457327293055, -90.28793246798391 38.62484922732705, -90.28781408895482 38.62561995833064, -90.28715478794263 38.62947886939268, -90.28699807009698 38.63018725169053, -90.28676135672568 38.63090809170102, -90.2850050980079 38.63074492776977, -90.27452604966973 38.62973864829385))"
Clayton-Tamm,3226,3006,150,220,,,,12897,"POLYGON ((-90.29124413366681 38.63137317951667, -90.28676135672568 38.63090809170102, -90.28699807009698 38.63018725169053, -90.28715478794263 38.62947886939268, -90.28781408895482 38.62561995833064, -90.28793246798391 38.62484922732705, -90.28793853128163 38.62457327293055, -90.28789788615204 38.62440888314665, -90.28781677977361 38.62373279931212, -90.28782987673631 38.62364769939551, -90.28786109772629 38.62344636988089, -90.2878835976575 38.62332995599861, -90.28805711539546 38.62244742805073, -90.28852009269082 38.62242467824446, -90.29040216839263 38.62219034996777, -90.29156537017651 38.62202218043306, -90.29219725272021 38.62189471262973, -90.29264561542138 38.62177949267514, -90.2942331972253 38.62128434906337, -90.29528106675602 38.62094802627724, -90.29564703053386 38.62158297492898, -90.2958326946094 38.62183798366856, -90.29593740884452 38.62194135822934, -90.29610468814973 38.62210113321341, -90.29628766742863 38.62226689394809, -90.29645522564731 38.62242760252396, -90.29655702020636 38.62253671042705, -90.29665618530279 38.62264743376632, -90.29677185424198 38.62278926956237, -90.29692902567939 38.62302203994837, -90.29722008956081 38.62345203490853, -90.29747196743597 38.62381471359269, -90.29753068414868 38.6238836830096, -90.2975769334172 38.62393000440658, -90.2976028550337 38.62394811743436, -90.29765700142241 38.62398687370642, -90.29770530995809 38.6240229013946, -90.29838929847303 38.62435293390831, -90.29836471470811 38.62438194343083, -90.29723752102259 38.62955518271014, -90.29685755402851 38.62950921590205, -90.29648971992324 38.63187078333365, -90.29374295638968 38.6316101084463, -90.29124413366681 38.63137317951667))"
Clifton Heights,4130,4085,8,45,,,,13750,"POLYGON ((-90.28811776983473 38.618499554998, -90.28793998719662 38.61825459828524, -90.28767800241907 38.61798321001255, -90.28748326244964 38.61765010500263, -90.28734573743228 38.61740409463326, -90.28724006137679 38.61714693862118, -90.28716151859379 38.61687538827867, -90.28712708617519 38.61668335782239, -90.28712270447244 38.61649615993796, -90.28713711205499 38.61616873421703, -90.28713555601169 38.61510830873083, -90.28712776256231 38.61448864824643, -90.28715408316255 38.61407359402209, -90.28719677069354 38.61374553311096, -90.28724143159542 38.61343647758562, -90.28730650935313 38.61313476331127, -90.28738758322538 38.61284403430924, -90.28748945202177 38.61251539425057, -90.28759530998393 38.6122222387416, -90.28797053817722 38.6111698549412, -90.28808190034052 38.61059843626538, -90.28840055219888 38.60885715883906, -90.28853351974645 38.60817160271219, -90.28874832649974 38.60741869909968, -90.2889400131274 38.60699479840755, -90.30427257899773 38.60851921643832, -90.30396926729492 38.60904730070873, -90.30376536377879 38.60950278368556, -90.30356065238382 38.61002257463451, -90.30341879121494 38.61038891828418, -90.30322150659126 38.61086571974777, -90.30306614522513 38.61116361160658, -90.302898515385 38.61145533169339, -90.30272597667457 38.61172436185955, -90.30243850622819 38.6121076207099, -90.3021461570963 38.61246936994111, -90.30177645299315 38.61285888605838, -90.30136740614881 38.61323597751594, -90.30105834808039 38.61351073198328, -90.30083384534352 38.61369638684386, -90.30023415826811 38.61412145054892, -90.29953738862514 38.61454244564944, -90.29916529967137 38.61473654893917, -90.29836548739914 38.61508000728323, -90.29752480681215 38.61542934809012, -90.29742254620123 38.61547653837548, -90.29267425745499 38.6174111857382, -90.29192558095718 38.61769724563093, -90.29102260104416 38.6179885445541, -90.29008466849504 38.61824885464691, -90.28955401966198 38.61838201257542, -90.28870293973684 38.61857381955747, -90.28819050448601 38.61866512878998, -90.28811776983473 38.618499554998))"
College Hill,5439,412,4991,5027,,,,6248,"POLYGON ((-90.20115560341677 38.66829658995132, -90.20225039910696 38.66837607495235, -90.20366615998483 38.66848264157014, -90.20760863272349 38.66723771440474, -90.20768028091538 38.66721477300371, -90.20872621510443 38.66688628156913, -90.20919286233161 38.66776478536038, -90.21076717933441 38.66886364401363, -90.2109994968133 38.66901296365007, -90.21119169102896 38.66912371370268, -90.21226149335709 38.66961676801638, -90.21240642796089 38.66972215512891, -90.21421556450234 38.67153913005168, -90.21429009571895 38.67159332396364, -90.21817510128608 38.67331761800157, -90.21810630560027 38.67337168370493, -90.21259072892786 38.67872830062937, -90.21237225216686 38.67896322406608, -90.21115057817913 38.67961626251775, -90.21103584757502 38.67954801821178, -90.21039669100313 38.67914600344576, -90.20955887869833 38.67864183897435, -90.20906971244277 38.67833217678622, -90.20899403871609 38.67828256240836, -90.2089238535941 38.67823570753641, -90.20885747931689 38.67819070185838, -90.20879198185911 38.67814545119502, -90.20872533496943 38.67809860501282, -90.20865607209726 38.67804900638051, -90.20858328060076 38.67799711982167, -90.20850965886393 38.67794267746522, -90.20843397786437 38.67788641763748, -90.20835833658117 38.67782903204226, -90.2082797651142 38.67776864606305, -90.20819798871027 38.67770391351954, -90.20811042081245 38.67763345500194, -90.20801703401553 38.67755540321958, -90.20791810090041 38.67747165350708, -90.20781599444079 38.67738443595385, -90.20769902135093 38.67729215616784, -90.2076123357529 38.67722032653087, -90.20749978371138 38.67711776048653, -90.20717266610387 38.67680322334105, -90.20705954425311 38.67669466938762, -90.20699501825841 38.67662654682902, -90.20658648070381 38.67617039036946, -90.20625909485386 38.67577781158143, -90.20539039471031 38.67456216000411, -90.20478928797947 38.6736645482911, -90.20433811901242 38.67299522199099, -90.20362994826479 38.67194790165936, -90.2026504506767 38.67051090343025, -90.20182279745752 38.66928365870965, -90.20115560341677 38.66829658995132))"
Columbus Square,2047,136,1896,1911,,,,9563,"POLYGON ((-90.18713687008253 38.63968469390766, -90.18707951248896 38.63959027333846, -90.18686013026418 38.63918878314215, -90.18672365758948 38.63889941048896, -90.18656326228481 38.6385483827524, -90.18643708280334 38.63825148605233, -90.18637489063977 38.63806185135769, -90.18627706947359 38.6376769415855, -90.18614227259587 38.63721320718449, -90.1861439679904 38.63662371902028, -90.18611039300387 38.63522711201706, -90.18609197169766 38.63443393265286, -90.18606437749656 38.63320756045187, -90.18613748921807 38.63322813129665, -90.18644086787256 38.63330033854865, -90.18656412994758 38.63334070427329, -90.18664447783364 38.63337982911411, -90.1868991345093 38.6335226394506, -90.18697425158055 38.63355716438765, -90.18714699868262 38.63361756976761, -90.18760835479304 38.63379042221708, -90.18809269130732 38.63391184820506, -90.19514536692161 38.63536800643556, -90.19537723655351 38.63544939519317, -90.19439458625926 38.63834791814764, -90.19438078412369 38.6385064585854, -90.19443414755435 38.63857889786803, -90.19463898593702 38.63933162064843, -90.19463695332827 38.63946410563751, -90.19456996418981 38.639714714981, -90.19408275295933 38.64113903731676, -90.18730214696232 38.63971924000645, -90.18713687008253 38.63968469390766))"
Compton Heights,1868,1290,539,578,,,,15479,"POLYGON ((-90.22811689878175 38.6143085064157, -90.22933093261111 38.60844989074821, -90.24068737476276 38.60985735869404, -90.24081478747536 38.60986977797338, -90.24002183245013 38.61341029390914, -90.23940675667178 38.61637502087986, -90.23937339524984 38.61664769940251, -90.23721229945028 38.61644513189655, -90.23647239094223 38.61635331914285, -90.2361616440395 38.61630135246187, -90.23583026161673 38.61623607554912, -90.23547765144751 38.61615680040887, -90.23529959483371 38.6161129022929, -90.23496567157741 38.6160252104282, -90.23467111918896 38.61593870526013, -90.23430642078739 38.61581637051889, -90.2340617461947 38.6157293180354, -90.23378852201718 38.61563028277315, -90.23324938968791 38.61543250160328, -90.23284217977498 38.61527983272897, -90.23257569232545 38.61517715793013, -90.23212514710058 38.61500818654702, -90.23165378340379 38.61485698674892, -90.23128260301088 38.61475818775775, -90.2309285514192 38.61467455703123, -90.23049635441794 38.61457992632977, -90.2299693840215 38.61449405454693, -90.22941197693844 38.61442389909042, -90.22811689878175 38.6143085064157))"
Covenant Blu-Grand Center,4175,1026,3042,3149,,,,5466,"POLYGON ((-90.22433459533974 38.63924818356869, -90.22555854755058 38.63572939713857, -90.22791772061412 38.63623493866181, -90.22834174067289 38.6363590233991, -90.22879546541485 38.63643262314569, -90.23048857050945 38.63679375184699, -90.24085311361432 38.63892938202527, -90.23776914584381 38.64334433841727, -90.23236362579676 38.65094881549954, -90.22963274910215 38.64975858202305, -90.22944310087675 38.64967529946347, -90.22918268247241 38.6493232204127, -90.22564467149294 38.64533491606182, -90.22521285808662 38.64486432421417, -90.22426287973293 38.64386600938968, -90.22391804199079 38.64362720789174, -90.22400541896232 38.64358556635328, -90.22398792584728 38.6401681811106, -90.22433459533974 38.63924818356869))"
DeBaliviere Place,3271,1935,1247,1336,,,,10598,"POLYGON ((-90.27913550132874 38.65342940020579, -90.27456679727125 38.65297398040538, -90.2743110172633 38.6529220013948, -90.27374501926921 38.65279163059706, -90.27348585163074 38.65271493003556, -90.27336866448594 38.65267647999042, -90.27465420712035 38.64502396391376, -90.28494404947719 38.64603367337402, -90.28472730667704 38.6474630994883, -90.28540873749361 38.64755471945153, -90.28501494331988 38.6498569386228, -90.2847809019546 38.6513063772534, -90.28473367513214 38.65158362742417, -90.28467941312489 38.65197665969369, -90.2843635759136 38.65384011204385, -90.28434255522491 38.65394853675325, -90.27913550132874 38.65342940020579))"
Downtown,1152,763,372,389,,,,19886,"POLYGON ((-90.18609197169766 38.63443393265286, -90.18577691106617 38.63436625134772, -90.18562066919424 38.63433403392884, -90.18540456292097 38.63431788370279, -90.18147589066781 38.63388182937062, -90.18098107312855 38.63382924242815, -90.18131181848226 38.62917355943789, -90.1874710017579 38.61446314749506, -90.18806965953274 38.61475309436548, -90.19184770838632 38.61655531415046, -90.19201564776468 38.61663470159053, -90.19204589023923 38.61659315298747, -90.19296804905603 38.61708937566133, -90.19338520884352 38.61707421364009, -90.20168345184776 38.61875958330188, -90.20167816793612 38.61884378728599, -90.19952163565263 38.62431868924706, -90.19824948827623 38.62746248614673, -90.1969524485351 38.63122062926608, -90.19673978574103 38.63176810829462, -90.19653489367302 38.63227351213947, -90.19578456692885 38.63427289684365, -90.19541622633535 38.6353359805877, -90.19537723655351 38.63544939519317, -90.19514536692161 38.63536800643556, -90.18809269130732 38.63391184820506, -90.18760835479304 38.63379042221708, -90.18714699868262 38.63361756976761, -90.18697425158055 38.63355716438765, -90.1868991345093 38.6335226394506, -90.18664447783364 38.63337982911411, -90.18656412994758 38.63334070427329, -90.18644086787256 38.63330033854865, -90.18613748921807 38.63322813129665, -90.18606437749656 38.63320756045187, -90.18609197169766 38.63443393265286))"
Downtown West,2535,1487,997,1048,,,,10213,"POLYGON ((-90.19541654141192 38.63533598140796, -90.19578456692885 38.63427289684365, -90.19653489367302 38.63227351213947, -90.19673978574103 38.63176810829462, -90.1969524485351 38.63122062926608, -90.19824948827623 38.62746248614673, -90.19952163565263 38.62431868924706, -90.20167816793612 38.61884378728599, -90.20168345184776 38.61875958330188, -90.20878874857907 38.6201912481098, -90.2185981959144 38.62222836856981, -90.21840740516581 38.6227633643737, -90.21829714133837 38.6231314918364, -90.21818280984552 38.62364429198014, -90.21814377639593 38.62400322718759, -90.21813597652834 38.62427892635458, -90.21814880185072 38.6258491846296, -90.21814593943027 38.62606176689434, -90.218141969497 38.62640524450177, -90.21809911283725 38.62668522511055, -90.21804839652351 38.62689835105817, -90.21792508779929 38.6271719593617, -90.21769434775199 38.6275437221234, -90.21696190704728 38.62872635000017, -90.21462800480815 38.63250664283673, -90.21436841886518 38.63293140686636, -90.21423297806575 38.63317727504296, -90.21376558823137 38.63412805942381, -90.21344514578907 38.63466731436878, -90.21318788335452 38.63509389359682, -90.21304758168796 38.63538027809907, -90.21292539836978 38.63573192237094, -90.21290230587832 38.6358163026096, -90.21283168958563 38.63617677783644, -90.21281285351186 38.63637007149828, -90.21281357990479 38.6367671051555, -90.21283590899593 38.63899755651845, -90.20253648584584 38.63683283830849, -90.2005930529053 38.63642373725258, -90.19541654141192 38.63533598140796))"
Dutchtown,17943,16218,1297,1725,,,,10943,"POLYGON ((-90.24451243843427 38.58839511945352, -90.24451385889888 38.58832007603012, -90.22692837347445 38.5861342239943, -90.22701366975755 38.58608727518596, -90.22710420884715 38.58558865891098, -90.2271311217838 38.58541045524027, -90.22714290815051 38.58506929967124, -90.22844406851604 38.57896117784375, -90.23980362881269 38.58039460656406, -90.24207846013438 38.56971005985906, -90.24209960649432 38.56966526511883, -90.24221506444972 38.56942088291974, -90.24418469324999 38.56659709614576, -90.2453496418283 38.56718661032494, -90.24507186824125 38.56801687503239, -90.25183835990345 38.5715589157352, -90.25607334244668 38.57379596146895, -90.25612657917945 38.57373428859326, -90.25664833100095 38.57400244525152, -90.25650838847817 38.57426919754162, -90.25593713818307 38.57536616668916, -90.25587392824615 38.57552162017511, -90.25582892793804 38.57564006879906, -90.2557838709556 38.5757752126357, -90.25574666724717 38.57591539792029, -90.2557190580337 38.57606293488825, -90.25570102550886 38.57622309572432, -90.2556934335322 38.5763990400724, -90.25569772621938 38.57658786024511, -90.25571395975668 38.57678332306121, -90.25574391115934 38.57697719438761, -90.25583000177716 38.57737918816639, -90.25589454057911 38.57760679686623, -90.25597750471978 38.57789941299208, -90.25608580874528 38.57828132505575, -90.25620133604784 38.57868955818947, -90.25630790411861 38.57906828108765, -90.25651012462177 38.57978564049375, -90.25653922697387 38.57989004690166, -90.25658789741748 38.58006314259317, -90.25662252564815 38.58016799981817, -90.2566545835161 38.58025708997005, -90.25670054013541 38.58037410779158, -90.25676302530093 38.58051727386657, -90.25684149427742 38.58068219352536, -90.2569367367518 38.58086296459556, -90.25704629016658 38.58105334863188, -90.25716343534145 38.58124374831105, -90.25727680500769 38.5814231562651, -90.25737946914613 38.58158216701546, -90.25756827576642 38.58187225523383, -90.25769068720916 38.5820578598693, -90.25784790311772 38.58229686259367, -90.25805207191858 38.58260757635269, -90.25826817719583 38.58293756345167, -90.25846597524253 38.58324002547391, -90.25883375290796 38.58380644796787, -90.25887344742833 38.5838728717142, -90.25899344368413 38.58408181046393, -90.25906992407273 38.5842268163645, -90.25914723268183 38.58438580076075, -90.25922045441806 38.58455348133045, -90.25928866093273 38.58472499585427, -90.25934875519486 38.58489536781837, -90.25939980786985 38.58506000960231, -90.25944183729699 38.58521340191342, -90.25947404929138 38.5853523852974, -90.2594981117668 38.58548034069861, -90.25951751002626 38.58560120198006, -90.2595455809174 38.58583856390431, -90.25955492552914 38.58592140069062, -90.25955963986192 38.5860813614514, -90.25956398877045 38.58634042247066, -90.25956625376863 38.5865424734633, -90.25957354685619 38.5871461560757, -90.25957755470027 38.58751801958397, -90.25957712756343 38.58790840905551, -90.2595872254073 38.58855235276865, -90.25958789486259 38.58861389065935, -90.25959025859068 38.58869193512877, -90.25959285332702 38.58879513288124, -90.25959510188065 38.58890772103508, -90.25959735959651 38.58901756326572, -90.25960077415345 38.58912672138549, -90.259607394458 38.589239785322, -90.2596180844732 38.58935996959833, -90.25963309993017 38.58948403452948, -90.25964991430348 38.58960373710651, -90.25966878541153 38.58971520608369, -90.259688239977 38.58981959173003, -90.25971751640319 38.58995832177845, -90.24451243843427 38.58839511945352))"
Ellendale,1701,1614,52,87,,,,14810,"POLYGON ((-90.28820413187974 38.61869673161817, -90.28819050448601 38.61866512878998, -90.28870293973684 38.61857381955747, -90.28955401966198 38.61838201257542, -90.29008466849504 38.61824885464691, -90.29102260104416 38.6179885445541, -90.29192558095718 38.61769724563093, -90.29267425745499 38.6174111857382, -90.29742254620123 38.61547653837548, -90.29752480681215 38.61542934809012, -90.29836548739914 38.61508000728323, -90.29916529967137 38.61473654893917, -90.29953738862514 38.61454244564944, -90.30023415826811 38.61412145054892, -90.30083384534352 38.61369638684386, -90.30105834808039 38.61351073198328, -90.30136740614881 38.61323597751594, -90.30177645299315 38.61285888605838, -90.3021461570963 38.61246936994111, -90.30243850622819 38.6121076207099, -90.30272597667457 38.61172436185955, -90.302898515385 38.61145533169339, -90.30306614522513 38.61116361160658, -90.30322150659126 38.61086571974777, -90.30341879121494 38.61038891828418, -90.30356065238382 38.61002257463451, -90.30376536377879 38.60950278368556, -90.30396926729492 38.60904730070873, -90.30427845059239 38.60850917614598, -90.30448599295445 38.60821936038859, -90.30481246891769 38.60784461876663, -90.3050420257848 38.60761708900279, -90.3053808333143 38.60731310153108, -90.30563097969393 38.6071315992089, -90.30624076707286 38.60669095453267, -90.30677316584 38.60631838787296, -90.30736858687197 38.60590566712936, -90.30780860284 38.60559335413987, -90.30903070541454 38.60473906271298, -90.30948077525257 38.60439084294178, -90.31009982166238 38.60385820416188, -90.3104933265523 38.60347188489055, -90.31100594538647 38.60293840980372, -90.31152365911367 38.60235389367816, -90.31209355452538 38.60174979809212, -90.31269766758557 38.60122467263619, -90.31330700649366 38.60082657936277, -90.3139514427402 38.60049350754498, -90.31525621624054 38.59997843228188, -90.31554226705265 38.59987179195443, -90.31619462148696 38.59962340489257, -90.31671566316602 38.59941047832496, -90.31732143219054 38.59913592558235, -90.31774596086625 38.59892309084664, -90.31822462382448 38.59863872460393, -90.31884295024236 38.59822183402714, -90.31889262417336 38.59818530755739, -90.31798206195798 38.60045503217199, -90.31524367715559 38.60735317049314, -90.31220379933438 38.61500769567596, -90.31211044332898 38.61524094983362, -90.31157908322109 38.61556296182417, -90.31108433210004 38.61581662939089, -90.31031080177505 38.61615153465484, -90.30998380749622 38.61628143574786, -90.30977330971066 38.61635133460238, -90.30952724036428 38.61642554120719, -90.30911219596649 38.61653766763408, -90.30898026581289 38.61658322697387, -90.30875020476002 38.6166649819167, -90.30694567566563 38.61720228011207, -90.30597911461498 38.61751303080106, -90.29528106675602 38.62094802627724, -90.2942331972253 38.62128434906337, -90.29264561542138 38.62177949267514, -90.29219725272021 38.62189471262973, -90.29156537017651 38.62202218043306, -90.29040216839263 38.62219034996777, -90.28852009269082 38.62242467824446, -90.28805711539546 38.62244742805073, -90.2884289633908 38.62050055314531, -90.28847675928456 38.62001757619348, -90.28845563791123 38.61965345560916, -90.28836534149377 38.61911509068393, -90.28820413187974 38.61869673161817))"
Fairground Neighborhood,3026,87,2925,2939,,,,5117,"POLYGON ((-90.20872621510443 38.66688628156913, -90.20844306045952 38.66632082669187, -90.2132157462551 38.65959393315062, -90.21674853161991 38.66114076911639, -90.21418615500711 38.66478749318907, -90.21836082439965 38.66660153957449, -90.22203193096861 38.6682004452371, -90.22071266668186 38.67006179637306, -90.22079543423021 38.67009747100028, -90.21855446458726 38.67297345443573, -90.21817510128608 38.67331761800157, -90.21429009571895 38.67159332396364, -90.21421556450234 38.67153913005168, -90.21240642796089 38.66972215512891, -90.21226149335709 38.66961676801638, -90.21119169102896 38.66912371370268, -90.2109994968133 38.66901296365007, -90.21076717933441 38.66886364401363, -90.20919286233161 38.66776478536038, -90.20872621510443 38.66688628156913))"
Forest Park South East,4087,1320,2693,2767,,,,7686,"POLYGON ((-90.24329301258319 38.63201749353468, -90.243423830503 38.63191068964954, -90.24370120604011 38.63168088753184, -90.24421809581298 38.63119552418016, -90.24477800267256 38.63068029435736, -90.24532590049967 38.630183103813, -90.2455562521034 38.62996255843579, -90.24580660423733 38.62969856067532, -90.24593084571271 38.62954849140495, -90.24614641523446 38.62929976705443, -90.24654635159855 38.62897364989306, -90.24667007715165 38.62887987006825, -90.2475944397368 38.62824091500359, -90.251240356031 38.62594376934416, -90.25203092292925 38.62533585271553, -90.25279782207721 38.62474594883646, -90.25354904822905 38.62411918401737, -90.25397412663837 38.62376173561171, -90.25581548348879 38.6221697443786, -90.25842044911906 38.61986168260758, -90.25993820606718 38.6185939095422, -90.26003769352141 38.61850531036234, -90.26021409910959 38.61851528273248, -90.26082276047401 38.61853690320971, -90.26159303162711 38.61854468092635, -90.26291991068719 38.61853411402923, -90.2634487604594 38.61851640220709, -90.2642996229462 38.61849683828057, -90.26497346209177 38.61847394713811, -90.26561523813631 38.61845167437576, -90.26651228190015 38.6184161781028, -90.2660823726204 38.62054846445416, -90.26501027788625 38.62585514844626, -90.26457117512273 38.62846978401339, -90.26452877525446 38.62876123316819, -90.26446868275082 38.62920685761152, -90.26445413018604 38.62937501598326, -90.26450454967078 38.62964995670824, -90.26460113079763 38.62991787834675, -90.26474546901666 38.63020489769973, -90.26540216141871 38.63126636123535, -90.2652447141889 38.63132645567713, -90.26497515366911 38.63142501476738, -90.26460918018581 38.63155652255784, -90.26444386185055 38.63161454064146, -90.26419447393916 38.63169916180473, -90.26398334476761 38.63176351235084, -90.26373831654932 38.63183141868078, -90.26348314178605 38.63189749167828, -90.26325745111501 38.63195036098825, -90.26305077010706 38.63199228468289, -90.26285052238771 38.63202595583333, -90.2625464138706 38.63206836759794, -90.26225109986012 38.63209775332398, -90.26195139823112 38.63212001744529, -90.26167248438637 38.6321336460388, -90.26127745624346 38.63213511981843, -90.26111617449895 38.63212539958897, -90.26088370416453 38.63211075576867, -90.26069385822407 38.63208999289773, -90.26056175658668 38.63207462007122, -90.26051101838398 38.63206787110008, -90.26024921640669 38.6320204346144, -90.26012851443697 38.63199843953231, -90.25986700758916 38.6319466367842, -90.25958219270618 38.63188242892095, -90.2592720822222 38.63180353256941, -90.25909601865629 38.63175489691837, -90.25889929391769 38.63169795320967, -90.25867928628921 38.63163159756358, -90.25844525974635 38.63155972072192, -90.25821242694833 38.63148693972522, -90.25799267645174 38.63141737059232, -90.25779803656113 38.63135518463618, -90.25762637016895 38.6313008443615, -90.25747893676044 38.63125454469454, -90.2572822207911 38.63119578597613, -90.25699947802666 38.63112078465699, -90.25670595152188 38.631056798829, -90.2564278038877 38.63101044562803, -90.25620092657211 38.63097886182322, -90.25598130289698 38.63095553046688, -90.25582265469649 38.63094443547489, -90.2556167298154 38.63093851369563, -90.25508461473889 38.63094198672941, -90.2547846427675 38.63096217249416, -90.2545847278128 38.63099036581904, -90.25448840356299 38.63100663925386, -90.25375598381486 38.63114170958256, -90.25354553701762 38.63117833639645, -90.25319734946595 38.63122175683365, -90.25278066242531 38.63125220807167, -90.25226894171713 38.6312694135264, -90.25190456325565 38.63126682913722, -90.25139708946352 38.6312300550045, -90.25108444053468 38.63121038850802, -90.25080678094682 38.6311958481952, -90.25043868180695 38.6311760618601, -90.2500507332547 38.63115647909721, -90.24990722197644 38.63115158674006, -90.24966770496692 38.63115154132677, -90.24948534264445 38.63116488060437, -90.24917480971371 38.63120125775379, -90.24900554997558 38.63122170884392, -90.24843428486605 38.63131818176444, -90.24768759899383 38.63145433669114, -90.24656394430389 38.63167273495218, -90.24316768109819 38.6323133383615, -90.24329301258319 38.63201749353468))"
Fountain Park,2333,15,2313,2318,,,,11439,"POLYGON ((-90.25587723270067 38.66112841974574, -90.25757697720803 38.65109898284552, -90.25757669865028 38.6510985154635, -90.25757698266766 38.65109736276962, -90.26336886030408 38.65160035545782, -90.26350898021852 38.65158438301676, -90.26159320460474 38.66292120361954, -90.26152908374775 38.66306751203502, -90.25587723270067 38.66112841974574))"
Fox Park,5092,2724,2112,2368,,,,6400,"POLYGON ((-90.22124748452906 38.61369642301454, -90.22245792482917 38.60764104201418, -90.22299909185104 38.6049382423044, -90.22434335640969 38.6043528811592, -90.23073215384515 38.60162665676537, -90.22933093261111 38.60844989074821, -90.22811689878175 38.6143085064157, -90.22481229764179 38.61403096690122, -90.22124748452906 38.61369642301454))"
Franz Park,2681,2487,144,194,,,,13552,"POLYGON ((-90.2989046312023 38.62458766367629, -90.29844201710482 38.62437680444261, -90.29838929847303 38.62435293390831, -90.29770530995809 38.6240229013946, -90.29765700142241 38.62398687370642, -90.2976028550337 38.62394811743436, -90.2975769334172 38.62393000440658, -90.29753068414868 38.6238836830096, -90.29747196743597 38.62381471359269, -90.29722008956081 38.62345203490853, -90.29692902567939 38.62302203994837, -90.29677185424198 38.62278926956237, -90.29665618530279 38.62264743376632, -90.29655702020636 38.62253671042705, -90.29645522564731 38.62242760252396, -90.29628766742863 38.62226689394809, -90.29610468814973 38.62210113321341, -90.29593740884452 38.62194135822934, -90.2958326946094 38.62183798366856, -90.29564703053386 38.62158297492898, -90.29528106675602 38.62094802627724, -90.30597911461498 38.61751303080106, -90.30694567566563 38.61720228011207, -90.30875020476002 38.6166649819167, -90.30898026581289 38.61658322697387, -90.30911219596649 38.61653766763408, -90.30952724036428 38.61642554120719, -90.30977330971066 38.61635133460238, -90.30998380749622 38.61628143574786, -90.31031080177505 38.61615153465484, -90.31108433210004 38.61581662939089, -90.31157908322109 38.61556296182417, -90.31211044332898 38.61524094983362, -90.31089116360442 38.61828515440141, -90.30931896883622 38.62696966943319, -90.30718242540307 38.62678103784637, -90.30145097717684 38.62623800174597, -90.30123662909089 38.62621819667629, -90.30131874763352 38.6258510687944, -90.30107536452473 38.62503942682228, -90.30085484888386 38.62503608611449, -90.30061634362509 38.62500660059486, -90.3001807397425 38.62493630322993, -90.29973412646406 38.62483509374835, -90.29911302268306 38.62465782305067, -90.2989046312023 38.62458766367629))"
Gravois Park,5183,4202,688,981,,,,9662,"POLYGON ((-90.22546344119313 38.5932927245632, -90.22692837347445 38.5861342239943, -90.24451385889888 38.58832007603012, -90.24451243843427 38.58839511945352, -90.24392372587933 38.59193156277987, -90.24384340471467 38.59246019966832, -90.24319614238112 38.59293657431033, -90.24241018196119 38.59364651158077, -90.24191940153514 38.59357653480771, -90.241806123868 38.59354289436617, -90.24158968770278 38.59348337903919, -90.24141343670702 38.59343836827545, -90.24104713502798 38.59338170601166, -90.24065980799647 38.59333416744234, -90.2395295745568 38.59319845208846, -90.23724377252331 38.59292193416017, -90.23687008440687 38.59472748144831, -90.22546344119313 38.5932927245632))"
Greater Ville,12483,89,12370,12394,,,,6889,"POLYGON ((-90.23937683772867 38.67105789281206, -90.22886988245871 38.66645368162074, -90.22272274268066 38.6637555361385, -90.23152853779658 38.65140297005426, -90.23206553830154 38.65122868270502, -90.23225287410487 38.65106962921151, -90.23236362579676 38.65094881549954, -90.23662914313731 38.65281917948406, -90.23134052903632 38.66023529775372, -90.24281634020365 38.66522585165389, -90.24805855416291 38.65782740765052, -90.25344238025998 38.66018393849762, -90.25351056798702 38.66021406749753, -90.2442552528201 38.67307047734219, -90.24250611353041 38.6723709934606, -90.23937683772867 38.67105789281206))"
Hamilton Heights,5505,34,5460,5471,,,,7000,"POLYGON ((-90.26770622536912 38.66577007768237, -90.27192485970221 38.66109227232814, -90.27196032459248 38.6610518393513, -90.27197938941111 38.66101455964696, -90.27201004950319 38.66092103891454, -90.27212381829798 38.66093704956474, -90.27220341686383 38.66096076448132, -90.27616755984056 38.66311003176524, -90.2889987494106 38.67002879271423, -90.28997927623482 38.67059964580317, -90.28599811495789 38.67563096642431, -90.27939118641827 38.6720981443268, -90.27562251798508 38.67006397807035, -90.26770622536912 38.66577007768237))"
