boundaries,geometry
32,"POLYGON ((-90.31628946918188 38.58506387494783, -90.31565033430483 38.58506387494783, -90.31565033430483 38.58385853774512, -90.31574011414219 38.58385853774512, -90.31597670013299 38.58440074721403, -90.31628946918188 38.58506387494783))"
33,"POLYGON ((-90.31685797529505 38.58626921215053, -90.31565033430483 38.58626921215053, -90.31565033430483 38.58506387494783, -90.31628946918188 38.58506387494783, -90.31685797529505 38.58626921215053))"
34,"POLYGON ((-90.31686205161624 38.5862778546989, -90.31686205161624 38.58747454935324, -90.31565033430483 38.58747454935324, -90.31565033430483 38.58626921215053, -90.31685797529505 38.58626921215053, -90.31686205161624 38.5862778546989))"
35,"POLYGON ((-90.31686205161624 38.58747454935324, -90.31686205161624 38.58867988655594, -90.31565033430483 38.58867988655594, -90.31565033430483 38.58747454935324, -90.31686205161624 38.58747454935324))"
36,"POLYGON ((-90.31686205161624 38.58867988655594, -90.31686205161624 38.58988522375865, -90.31565033430483 38.58988522375865, -90.31565033430483 38.58867988655594, -90.31686205161624 38.58867988655594))"
37,"POLYGON ((-90.31686205161624 38.58988522375865, -90.31686205161624 38.59109056096136, -90.31565033430483 38.59109056096136, -90.31565033430483 38.58988522375865, -90.31686205161624 38.58988522375865))"
38,"POLYGON ((-90.31686205161624 38.59109056096136, -90.31686205161624 38.59229589816406, -90.31565033430483 38.59229589816406, -90.31565033430483 38.59109056096136, -90.31686205161624 38.59109056096136))"
39,"POLYGON ((-90.31686205161624 38.59229589816406, -90.31686205161624 38.59350123536677, -90.31565033430483 38.59350123536677, -90.31565033430483 38.59229589816406, -90.31686205161624 38.59229589816406))"
40,"POLYGON ((-90.31686205161624 38.59350123536677, -90.31686205161624 38.59470657256947, -90.31565033430483 38.59470657256947, -90.31565033430483 38.59350123536677, -90.31686205161624 38.59350123536677))"
41,"POLYGON ((-90.31686205161624 38.59470657256947, -90.31686205161624 38.59591190977218, -90.31565033430483 38.59591190977218, -90.31565033430483 38.59470657256947, -90.31686205161624 38.59470657256947))"
42,"POLYGON ((-90.31686205161624 38.59591190977218, -90.31686205161624 38.59711724697488, -90.31565033430483 38.59711724697488, -90.31565033430483 38.59591190977218, -90.31686205161624 38.59591190977218))"
