boundaries,geometry
2793,"POLYGON ((-90.27566366302815 38.662205455921, -90.27566366302815 38.66341079312371, -90.27445194571675 38.66341079312371, -90.27445194571675 38.662205455921, -90.27566366302815 38.662205455921))"
2794,"POLYGON ((-90.27566366302815 38.66341079312371, -90.27566366302815 38.66461613032642, -90.27445194571675 38.66461613032642, -90.27445194571675 38.66341079312371, -90.27566366302815 38.66341079312371))"
2795,"POLYGON ((-90.27566366302815 38.66461613032642, -90.27566366302815 38.66582146752912, -90.27445194571675 38.66582146752912, -90.27445194571675 38.66461613032642, -90.27566366302815 38.66461613032642))"
2796,"POLYGON ((-90.27566366302815 38.66582146752912, -90.27566366302815 38.66702680473183, -90.27445194571675 38.66702680473183, -90.27445194571675 38.66582146752912, -90.27566366302815 38.66582146752912))"
2797,"POLYGON ((-90.27566366302815 38.66702680473183, -90.27566366302815 38.66823214193453, -90.27445194571675 38.66823214193453, -90.27445194571675 38.66702680473183, -90.27566366302815 38.66702680473183))"
2798,"POLYGON ((-90.27566366302815 38.66823214193453, -90.27566366302815 38.66943747913724, -90.27445194571675 38.66943747913724, -90.27445194571675 38.66823214193453, -90.27566366302815 38.66823214193453))"
2799,"POLYGON ((-90.27566366302815 38.66943747913724, -90.27566366302815 38.67064281633994, -90.27445194571675 38.67064281633994, -90.27445194571675 38.66943747913724, -90.27566366302815 38.66943747913724))"
2800,"POLYGON ((-90.27566366302815 38.67064281633994, -90.27566366302815 38.67184815354265, -90.27445194571675 38.67184815354265, -90.27445194571675 38.67064281633994, -90.27566366302815 38.67064281633994))"
2801,"POLYGON ((-90.27566366302815 38.67184815354265, -90.27566366302815 38.67305349074536, -90.27445194571675 38.67305349074536, -90.27445194571675 38.67184815354265, -90.27566366302815 38.67184815354265))"
2802,"POLYGON ((-90.27566366302815 38.67305349074536, -90.27566366302815 38.67425882794807, -90.27445194571675 38.67425882794807, -90.27445194571675 38.67305349074536, -90.27566366302815 38.67305349074536))"
2803,"POLYGON ((-90.27566366302815 38.67425882794807, -90.27566366302815 38.67546416515077, -90.27445194571675 38.67546416515077, -90.27445194571675 38.67425882794807, -90.27566366302815 38.67425882794807))"
2804,"POLYGON ((-90.27566366302815 38.67546416515077, -90.27566366302815 38.67666950235348, -90.27445194571675 38.67666950235348, -90.27445194571675 38.67546416515077, -90.27566366302815 38.67546416515077))"
2805,"POLYGON ((-90.27566366302815 38.67666950235348, -90.27566366302815 38.67787483955618, -90.27445194571675 38.67787483955618, -90.27445194571675 38.67666950235348, -90.27566366302815 38.67666950235348))"
2806,"POLYGON ((-90.27566366302815 38.67787483955618, -90.27566366302815 38.67908017675889, -90.27445194571675 38.67908017675889, -90.27445194571675 38.67787483955618, -90.27566366302815 38.67787483955618))"
2807,"POLYGON ((-90.27566366302815 38.67908017675889, -90.27566366302815 38.68028551396159, -90.27445194571675 38.68028551396159, -90.27445194571675 38.67908017675889, -90.27566366302815 38.67908017675889))"
2808,"POLYGON ((-90.27566366302815 38.68028551396159, -90.27566366302815 38.6814908511643, -90.27445194571675 38.6814908511643, -90.27445194571675 38.68028551396159, -90.27566366302815 38.68028551396159))"
2809,"POLYGON ((-90.27566366302815 38.6814908511643, -90.27566366302815 38.682696188367, -90.27445194571675 38.682696188367, -90.27445194571675 38.6814908511643, -90.27566366302815 38.6814908511643))"
2810,"POLYGON ((-90.27566366302815 38.682696188367, -90.27566366302815 38.68390152556971, -90.27445194571675 38.68390152556971, -90.27445194571675 38.682696188367, -90.27566366302815 38.682696188367))"
2811,"POLYGON ((-90.27566366302815 38.68390152556971, -90.27566366302815 38.68510686277241, -90.27445194571675 38.68510686277241, -90.27445194571675 38.68390152556971, -90.27566366302815 38.68390152556971))"
2812,"POLYGON ((-90.27566366302815 38.68510686277241, -90.27566366302815 38.68631219997512, -90.27445194571675 38.68631219997512, -90.27445194571675 38.68510686277241, -90.27566366302815 38.68510686277241))"
2813,"POLYGON ((-90.27566366302815 38.68631219997512, -90.27566366302815 38.68751753717783, -90.27445194571675 38.68751753717783, -90.27445194571675 38.68631219997512, -90.27566366302815 38.68631219997512))"
2814,"POLYGON ((-90.27559427569381 38.68872287438053, -90.27445194571675 38.68872287438053, -90.27445194571675 38.68751753717783, -90.27566366302815 38.68751753717783, -90.27566366302815 38.68863200710216, -90.27559427569381 38.68872287438053))"
2815,"POLYGON ((-90.27467386587192 38.68992821158324, -90.27445194571675 38.68992821158324, -90.27445194571675 38.68872287438053, -90.27559427569381 38.68872287438053, -90.27467386587192 38.68992821158324))"
2816,"POLYGON ((-90.27445194571675 38.69021883062346, -90.27445194571675 38.68992821158324, -90.27467386587192 38.68992821158324, -90.27445194571675 38.69021883062346))"
2817,"POLYGON ((-90.27328084134271 38.54890375886665, -90.27324022840533 38.54890375886665, -90.27324022840533 38.54888469081317, -90.27328084134271 38.54890375886665))"
2818,"POLYGON ((-90.27445194571675 38.54930127085065, -90.27445194571675 38.55010909606936, -90.27324022840533 38.55010909606936, -90.27324022840533 38.54890375886665, -90.27328084134271 38.54890375886665, -90.27385516523178 38.54917340788342, -90.27445194571675 38.54930127085065))"
2819,"POLYGON ((-90.27445194571675 38.55010909606936, -90.27445194571675 38.55131443327206, -90.27324022840533 38.55131443327206, -90.27324022840533 38.55010909606936, -90.27445194571675 38.55010909606936))"
2820,"POLYGON ((-90.27445194571675 38.55131443327206, -90.27445194571675 38.55251977047477, -90.27324022840533 38.55251977047477, -90.27324022840533 38.55131443327206, -90.27445194571675 38.55131443327206))"
2821,"POLYGON ((-90.27445194571675 38.55251977047477, -90.27445194571675 38.55372510767747, -90.27324022840533 38.55372510767747, -90.27324022840533 38.55251977047477, -90.27445194571675 38.55251977047477))"
2822,"POLYGON ((-90.27445194571675 38.55372510767747, -90.27445194571675 38.55493044488018, -90.27324022840533 38.55493044488018, -90.27324022840533 38.55372510767747, -90.27445194571675 38.55372510767747))"
2823,"POLYGON ((-90.27445194571675 38.55493044488018, -90.27445194571675 38.55613578208288, -90.27324022840533 38.55613578208288, -90.27324022840533 38.55493044488018, -90.27445194571675 38.55493044488018))"
2824,"POLYGON ((-90.27445194571675 38.55613578208288, -90.27445194571675 38.55734111928559, -90.27324022840533 38.55734111928559, -90.27324022840533 38.55613578208288, -90.27445194571675 38.55613578208288))"
2825,"POLYGON ((-90.27445194571675 38.55734111928559, -90.27445194571675 38.55854645648829, -90.27324022840533 38.55854645648829, -90.27324022840533 38.55734111928559, -90.27445194571675 38.55734111928559))"
2826,"POLYGON ((-90.27445194571675 38.55854645648829, -90.27445194571675 38.559751793691, -90.27324022840533 38.559751793691, -90.27324022840533 38.55854645648829, -90.27445194571675 38.55854645648829))"
2827,"POLYGON ((-90.27445194571675 38.559751793691, -90.27445194571675 38.5609571308937, -90.27324022840533 38.5609571308937, -90.27324022840533 38.559751793691, -90.27445194571675 38.559751793691))"
2828,"POLYGON ((-90.27445194571675 38.5609571308937, -90.27445194571675 38.56216246809642, -90.27324022840533 38.56216246809642, -90.27324022840533 38.5609571308937, -90.27445194571675 38.5609571308937))"
2829,"POLYGON ((-90.27445194571675 38.56216246809642, -90.27445194571675 38.56336780529912, -90.27324022840533 38.56336780529912, -90.27324022840533 38.56216246809642, -90.27445194571675 38.56216246809642))"
2830,"POLYGON ((-90.27445194571675 38.56336780529912, -90.27445194571675 38.56457314250183, -90.27324022840533 38.56457314250183, -90.27324022840533 38.56336780529912, -90.27445194571675 38.56336780529912))"
2831,"POLYGON ((-90.27445194571675 38.56457314250183, -90.27445194571675 38.56577847970453, -90.27324022840533 38.56577847970453, -90.27324022840533 38.56457314250183, -90.27445194571675 38.56457314250183))"
2832,"POLYGON ((-90.27445194571675 38.56577847970453, -90.27445194571675 38.56698381690724, -90.27324022840533 38.56698381690724, -90.27324022840533 38.56577847970453, -90.27445194571675 38.56577847970453))"
2833,"POLYGON ((-90.27445194571675 38.56698381690724, -90.27445194571675 38.56818915410994, -90.27324022840533 38.56818915410994, -90.27324022840533 38.56698381690724, -90.27445194571675 38.56698381690724))"
2834,"POLYGON ((-90.27445194571675 38.56818915410994, -90.27445194571675 38.56939449131265, -90.27324022840533 38.56939449131265, -90.27324022840533 38.56818915410994, -90.27445194571675 38.56818915410994))"
2835,"POLYGON ((-90.27445194571675 38.56939449131265, -90.27445194571675 38.57059982851536, -90.27324022840533 38.57059982851536, -90.27324022840533 38.56939449131265, -90.27445194571675 38.56939449131265))"
2836,"POLYGON ((-90.27445194571675 38.57059982851536, -90.27445194571675 38.57180516571806, -90.27324022840533 38.57180516571806, -90.27324022840533 38.57059982851536, -90.27445194571675 38.57059982851536))"
2837,"POLYGON ((-90.27445194571675 38.57180516571806, -90.27445194571675 38.57301050292077, -90.27324022840533 38.57301050292077, -90.27324022840533 38.57180516571806, -90.27445194571675 38.57180516571806))"
2838,"POLYGON ((-90.27445194571675 38.57301050292077, -90.27445194571675 38.57421584012347, -90.27324022840533 38.57421584012347, -90.27324022840533 38.57301050292077, -90.27445194571675 38.57301050292077))"
2839,"POLYGON ((-90.27445194571675 38.57421584012347, -90.27445194571675 38.57542117732618, -90.27324022840533 38.57542117732618, -90.27324022840533 38.57421584012347, -90.27445194571675 38.57421584012347))"
2840,"POLYGON ((-90.27445194571675 38.57542117732618, -90.27445194571675 38.57662651452888, -90.27324022840533 38.57662651452888, -90.27324022840533 38.57542117732618, -90.27445194571675 38.57542117732618))"
2841,"POLYGON ((-90.27445194571675 38.57662651452888, -90.27445194571675 38.57783185173159, -90.27324022840533 38.57783185173159, -90.27324022840533 38.57662651452888, -90.27445194571675 38.57662651452888))"
2842,"POLYGON ((-90.27445194571675 38.57783185173159, -90.27445194571675 38.57903718893429, -90.27324022840533 38.57903718893429, -90.27324022840533 38.57783185173159, -90.27445194571675 38.57783185173159))"
2843,"POLYGON ((-90.27445194571675 38.57903718893429, -90.27445194571675 38.58024252613701, -90.27324022840533 38.58024252613701, -90.27324022840533 38.57903718893429, -90.27445194571675 38.57903718893429))"
2844,"POLYGON ((-90.27445194571675 38.58024252613701, -90.27445194571675 38.58144786333971, -90.27324022840533 38.58144786333971, -90.27324022840533 38.58024252613701, -90.27445194571675 38.58024252613701))"
2845,"POLYGON ((-90.27445194571675 38.58144786333971, -90.27445194571675 38.58265320054242, -90.27324022840533 38.58265320054242, -90.27324022840533 38.58144786333971, -90.27445194571675 38.58144786333971))"
2846,"POLYGON ((-90.27445194571675 38.58265320054242, -90.27445194571675 38.58385853774512, -90.27324022840533 38.58385853774512, -90.27324022840533 38.58265320054242, -90.27445194571675 38.58265320054242))"
2847,"POLYGON ((-90.27445194571675 38.58385853774512, -90.27445194571675 38.58506387494783, -90.27324022840533 38.58506387494783, -90.27324022840533 38.58385853774512, -90.27445194571675 38.58385853774512))"
2848,"POLYGON ((-90.27445194571675 38.58506387494783, -90.27445194571675 38.58626921215053, -90.27324022840533 38.58626921215053, -90.27324022840533 38.58506387494783, -90.27445194571675 38.58506387494783))"
2849,"POLYGON ((-90.27445194571675 38.58626921215053, -90.27445194571675 38.58747454935324, -90.27324022840533 38.58747454935324, -90.27324022840533 38.58626921215053, -90.27445194571675 38.58626921215053))"
2850,"POLYGON ((-90.27445194571675 38.58747454935324, -90.27445194571675 38.58867988655594, -90.27324022840533 38.58867988655594, -90.27324022840533 38.58747454935324, -90.27445194571675 38.58747454935324))"
2851,"POLYGON ((-90.27445194571675 38.58867988655594, -90.27445194571675 38.58988522375865, -90.27324022840533 38.58988522375865, -90.27324022840533 38.58867988655594, -90.27445194571675 38.58867988655594))"
2852,"POLYGON ((-90.27445194571675 38.58988522375865, -90.27445194571675 38.59109056096136, -90.27324022840533 38.59109056096136, -90.27324022840533 38.58988522375865, -90.27445194571675 38.58988522375865))"
2853,"POLYGON ((-90.27445194571675 38.59109056096136, -90.27445194571675 38.59229589816406, -90.27324022840533 38.59229589816406, -90.27324022840533 38.59109056096136, -90.27445194571675 38.59109056096136))"
2854,"POLYGON ((-90.27445194571675 38.59229589816406, -90.27445194571675 38.59350123536677, -90.27324022840533 38.59350123536677, -90.27324022840533 38.59229589816406, -90.27445194571675 38.59229589816406))"
2855,"POLYGON ((-90.27445194571675 38.59350123536677, -90.27445194571675 38.59470657256947, -90.27324022840533 38.59470657256947, -90.27324022840533 38.59350123536677, -90.27445194571675 38.59350123536677))"
2856,"POLYGON ((-90.27445194571675 38.59470657256947, -90.27445194571675 38.59591190977218, -90.27324022840533 38.59591190977218, -90.27324022840533 38.59470657256947, -90.27445194571675 38.59470657256947))"
2857,"POLYGON ((-90.27445194571675 38.59591190977218, -90.27445194571675 38.59711724697488, -90.27324022840533 38.59711724697488, -90.27324022840533 38.59591190977218, -90.27445194571675 38.59591190977218))"
2858,"POLYGON ((-90.27445194571675 38.59711724697488, -90.27445194571675 38.59832258417759, -90.27324022840533 38.59832258417759, -90.27324022840533 38.59711724697488, -90.27445194571675 38.59711724697488))"
2859,"POLYGON ((-90.27445194571675 38.59832258417759, -90.27445194571675 38.5995279213803, -90.27324022840533 38.5995279213803, -90.27324022840533 38.59832258417759, -90.27445194571675 38.59832258417759))"
2860,"POLYGON ((-90.27445194571675 38.5995279213803, -90.27445194571675 38.60073325858301, -90.27324022840533 38.60073325858301, -90.27324022840533 38.5995279213803, -90.27445194571675 38.5995279213803))"
2861,"POLYGON ((-90.27445194571675 38.60073325858301, -90.27445194571675 38.60193859578571, -90.27324022840533 38.60193859578571, -90.27324022840533 38.60073325858301, -90.27445194571675 38.60073325858301))"
2862,"POLYGON ((-90.27445194571675 38.60193859578571, -90.27445194571675 38.60314393298842, -90.27324022840533 38.60314393298842, -90.27324022840533 38.60193859578571, -90.27445194571675 38.60193859578571))"
2863,"POLYGON ((-90.27445194571675 38.60314393298842, -90.27445194571675 38.60434927019112, -90.27324022840533 38.60434927019112, -90.27324022840533 38.60314393298842, -90.27445194571675 38.60314393298842))"
2864,"POLYGON ((-90.27445194571675 38.60434927019112, -90.27445194571675 38.60555460739383, -90.27324022840533 38.60555460739383, -90.27324022840533 38.60434927019112, -90.27445194571675 38.60434927019112))"
2865,"POLYGON ((-90.27445194571675 38.60555460739383, -90.27445194571675 38.60675994459653, -90.27324022840533 38.60675994459653, -90.27324022840533 38.60555460739383, -90.27445194571675 38.60555460739383))"
2866,"POLYGON ((-90.27445194571675 38.60675994459653, -90.27445194571675 38.60796528179924, -90.27324022840533 38.60796528179924, -90.27324022840533 38.60675994459653, -90.27445194571675 38.60675994459653))"
2867,"POLYGON ((-90.27445194571675 38.60796528179924, -90.27445194571675 38.60917061900194, -90.27324022840533 38.60917061900194, -90.27324022840533 38.60796528179924, -90.27445194571675 38.60796528179924))"
2868,"POLYGON ((-90.27445194571675 38.60917061900194, -90.27445194571675 38.61037595620465, -90.27324022840533 38.61037595620465, -90.27324022840533 38.60917061900194, -90.27445194571675 38.60917061900194))"
2869,"POLYGON ((-90.27445194571675 38.61037595620465, -90.27445194571675 38.61158129340735, -90.27324022840533 38.61158129340735, -90.27324022840533 38.61037595620465, -90.27445194571675 38.61037595620465))"
2870,"POLYGON ((-90.27445194571675 38.61158129340735, -90.27445194571675 38.61278663061006, -90.27324022840533 38.61278663061006, -90.27324022840533 38.61158129340735, -90.27445194571675 38.61158129340735))"
2871,"POLYGON ((-90.27445194571675 38.61278663061006, -90.27445194571675 38.61399196781277, -90.27324022840533 38.61399196781277, -90.27324022840533 38.61278663061006, -90.27445194571675 38.61278663061006))"
2872,"POLYGON ((-90.27445194571675 38.61399196781277, -90.27445194571675 38.61519730501547, -90.27324022840533 38.61519730501547, -90.27324022840533 38.61399196781277, -90.27445194571675 38.61399196781277))"
2873,"POLYGON ((-90.27445194571675 38.61519730501547, -90.27445194571675 38.61640264221818, -90.27324022840533 38.61640264221818, -90.27324022840533 38.61519730501547, -90.27445194571675 38.61519730501547))"
2874,"POLYGON ((-90.27445194571675 38.61640264221818, -90.27445194571675 38.61760797942089, -90.27324022840533 38.61760797942089, -90.27324022840533 38.61640264221818, -90.27445194571675 38.61640264221818))"
2875,"POLYGON ((-90.27445194571675 38.61760797942089, -90.27445194571675 38.61881331662359, -90.27324022840533 38.61881331662359, -90.27324022840533 38.61760797942089, -90.27445194571675 38.61760797942089))"
2876,"POLYGON ((-90.27445194571675 38.61881331662359, -90.27445194571675 38.6200186538263, -90.27324022840533 38.6200186538263, -90.27324022840533 38.61881331662359, -90.27445194571675 38.61881331662359))"
2877,"POLYGON ((-90.27445194571675 38.6200186538263, -90.27445194571675 38.62122399102901, -90.27324022840533 38.62122399102901, -90.27324022840533 38.6200186538263, -90.27445194571675 38.6200186538263))"
2878,"POLYGON ((-90.27445194571675 38.62122399102901, -90.27445194571675 38.62242932823171, -90.27324022840533 38.62242932823171, -90.27324022840533 38.62122399102901, -90.27445194571675 38.62122399102901))"
2879,"POLYGON ((-90.27445194571675 38.62242932823171, -90.27445194571675 38.62363466543442, -90.27324022840533 38.62363466543442, -90.27324022840533 38.62242932823171, -90.27445194571675 38.62242932823171))"
2880,"POLYGON ((-90.27445194571675 38.62363466543442, -90.27445194571675 38.62484000263712, -90.27324022840533 38.62484000263712, -90.27324022840533 38.62363466543442, -90.27445194571675 38.62363466543442))"
2881,"POLYGON ((-90.27445194571675 38.62484000263712, -90.27445194571675 38.62604533983983, -90.27324022840533 38.62604533983983, -90.27324022840533 38.62484000263712, -90.27445194571675 38.62484000263712))"
2882,"POLYGON ((-90.27445194571675 38.62604533983983, -90.27445194571675 38.62725067704253, -90.27324022840533 38.62725067704253, -90.27324022840533 38.62604533983983, -90.27445194571675 38.62604533983983))"
2883,"POLYGON ((-90.27445194571675 38.62725067704253, -90.27445194571675 38.62845601424524, -90.27324022840533 38.62845601424524, -90.27324022840533 38.62725067704253, -90.27445194571675 38.62725067704253))"
2884,"POLYGON ((-90.27445194571675 38.62845601424524, -90.27445194571675 38.62966135144794, -90.27324022840533 38.62966135144794, -90.27324022840533 38.62845601424524, -90.27445194571675 38.62845601424524))"
2885,"POLYGON ((-90.27445194571675 38.62966135144794, -90.27445194571675 38.63086668865065, -90.27324022840533 38.63086668865065, -90.27324022840533 38.62966135144794, -90.27445194571675 38.62966135144794))"
2886,"POLYGON ((-90.27445194571675 38.63086668865065, -90.27445194571675 38.63207202585335, -90.27324022840533 38.63207202585335, -90.27324022840533 38.63086668865065, -90.27445194571675 38.63086668865065))"
2887,"POLYGON ((-90.27445194571675 38.63207202585335, -90.27445194571675 38.63327736305606, -90.27324022840533 38.63327736305606, -90.27324022840533 38.63207202585335, -90.27445194571675 38.63207202585335))"
2888,"POLYGON ((-90.27445194571675 38.63327736305606, -90.27445194571675 38.63448270025876, -90.27324022840533 38.63448270025876, -90.27324022840533 38.63327736305606, -90.27445194571675 38.63327736305606))"
2889,"POLYGON ((-90.27445194571675 38.63448270025876, -90.27445194571675 38.63568803746148, -90.27324022840533 38.63568803746148, -90.27324022840533 38.63448270025876, -90.27445194571675 38.63448270025876))"
2890,"POLYGON ((-90.27445194571675 38.63568803746148, -90.27445194571675 38.63689337466418, -90.27324022840533 38.63689337466418, -90.27324022840533 38.63568803746148, -90.27445194571675 38.63568803746148))"
2891,"POLYGON ((-90.27445194571675 38.63689337466418, -90.27445194571675 38.63809871186689, -90.27324022840533 38.63809871186689, -90.27324022840533 38.63689337466418, -90.27445194571675 38.63689337466418))"
2892,"POLYGON ((-90.27445194571675 38.63809871186689, -90.27445194571675 38.63930404906959, -90.27324022840533 38.63930404906959, -90.27324022840533 38.63809871186689, -90.27445194571675 38.63809871186689))"
2893,"POLYGON ((-90.27445194571675 38.63930404906959, -90.27445194571675 38.6405093862723, -90.27324022840533 38.6405093862723, -90.27324022840533 38.63930404906959, -90.27445194571675 38.63930404906959))"
2894,"POLYGON ((-90.27445194571675 38.6405093862723, -90.27445194571675 38.641714723475, -90.27324022840533 38.641714723475, -90.27324022840533 38.6405093862723, -90.27445194571675 38.6405093862723))"
2895,"POLYGON ((-90.27445194571675 38.641714723475, -90.27445194571675 38.64292006067771, -90.27324022840533 38.64292006067771, -90.27324022840533 38.641714723475, -90.27445194571675 38.641714723475))"
2896,"POLYGON ((-90.27445194571675 38.64292006067771, -90.27445194571675 38.64412539788042, -90.27324022840533 38.64412539788042, -90.27324022840533 38.64292006067771, -90.27445194571675 38.64292006067771))"
2897,"POLYGON ((-90.27445194571675 38.64412539788042, -90.27445194571675 38.64533073508312, -90.27324022840533 38.64533073508312, -90.27324022840533 38.64412539788042, -90.27445194571675 38.64412539788042))"
2898,"POLYGON ((-90.27445194571675 38.64533073508312, -90.27445194571675 38.64653607228583, -90.27324022840533 38.64653607228583, -90.27324022840533 38.64533073508312, -90.27445194571675 38.64533073508312))"
2899,"POLYGON ((-90.27445194571675 38.64653607228583, -90.27445194571675 38.64774140948853, -90.27324022840533 38.64774140948853, -90.27324022840533 38.64653607228583, -90.27445194571675 38.64653607228583))"
2900,"POLYGON ((-90.27445194571675 38.64774140948853, -90.27445194571675 38.64894674669124, -90.27324022840533 38.64894674669124, -90.27324022840533 38.64774140948853, -90.27445194571675 38.64774140948853))"
2901,"POLYGON ((-90.27445194571675 38.64894674669124, -90.27445194571675 38.65015208389394, -90.27324022840533 38.65015208389394, -90.27324022840533 38.64894674669124, -90.27445194571675 38.64894674669124))"
2902,"POLYGON ((-90.27445194571675 38.65015208389394, -90.27445194571675 38.65135742109665, -90.27324022840533 38.65135742109665, -90.27324022840533 38.65015208389394, -90.27445194571675 38.65015208389394))"
2903,"POLYGON ((-90.27445194571675 38.65135742109665, -90.27445194571675 38.65256275829935, -90.27324022840533 38.65256275829935, -90.27324022840533 38.65135742109665, -90.27445194571675 38.65135742109665))"
2904,"POLYGON ((-90.27445194571675 38.65256275829935, -90.27445194571675 38.65376809550206, -90.27324022840533 38.65376809550206, -90.27324022840533 38.65256275829935, -90.27445194571675 38.65256275829935))"
2905,"POLYGON ((-90.27445194571675 38.65376809550206, -90.27445194571675 38.65497343270477, -90.27324022840533 38.65497343270477, -90.27324022840533 38.65376809550206, -90.27445194571675 38.65376809550206))"
2906,"POLYGON ((-90.27445194571675 38.65497343270477, -90.27445194571675 38.65617876990748, -90.27324022840533 38.65617876990748, -90.27324022840533 38.65497343270477, -90.27445194571675 38.65497343270477))"
2907,"POLYGON ((-90.27445194571675 38.65617876990748, -90.27445194571675 38.65738410711018, -90.27324022840533 38.65738410711018, -90.27324022840533 38.65617876990748, -90.27445194571675 38.65617876990748))"
2908,"POLYGON ((-90.27445194571675 38.65738410711018, -90.27445194571675 38.65858944431289, -90.27324022840533 38.65858944431289, -90.27324022840533 38.65738410711018, -90.27445194571675 38.65738410711018))"
2909,"POLYGON ((-90.27445194571675 38.65858944431289, -90.27445194571675 38.65979478151559, -90.27324022840533 38.65979478151559, -90.27324022840533 38.65858944431289, -90.27445194571675 38.65858944431289))"
2910,"POLYGON ((-90.27445194571675 38.65979478151559, -90.27445194571675 38.6610001187183, -90.27324022840533 38.6610001187183, -90.27324022840533 38.65979478151559, -90.27445194571675 38.65979478151559))"
2911,"POLYGON ((-90.27445194571675 38.6610001187183, -90.27445194571675 38.662205455921, -90.27324022840533 38.662205455921, -90.27324022840533 38.6610001187183, -90.27445194571675 38.6610001187183))"
2912,"POLYGON ((-90.27445194571675 38.662205455921, -90.27445194571675 38.66341079312371, -90.27324022840533 38.66341079312371, -90.27324022840533 38.662205455921, -90.27445194571675 38.662205455921))"
2913,"POLYGON ((-90.27445194571675 38.66341079312371, -90.27445194571675 38.66461613032642, -90.27324022840533 38.66461613032642, -90.27324022840533 38.66341079312371, -90.27445194571675 38.66341079312371))"
2914,"POLYGON ((-90.27445194571675 38.66461613032642, -90.27445194571675 38.66582146752912, -90.27324022840533 38.66582146752912, -90.27324022840533 38.66461613032642, -90.27445194571675 38.66461613032642))"
2915,"POLYGON ((-90.27445194571675 38.66582146752912, -90.27445194571675 38.66702680473183, -90.27324022840533 38.66702680473183, -90.27324022840533 38.66582146752912, -90.27445194571675 38.66582146752912))"
2916,"POLYGON ((-90.27445194571675 38.66702680473183, -90.27445194571675 38.66823214193453, -90.27324022840533 38.66823214193453, -90.27324022840533 38.66702680473183, -90.27445194571675 38.66702680473183))"
2917,"POLYGON ((-90.27445194571675 38.66823214193453, -90.27445194571675 38.66943747913724, -90.27324022840533 38.66943747913724, -90.27324022840533 38.66823214193453, -90.27445194571675 38.66823214193453))"
2918,"POLYGON ((-90.27445194571675 38.66943747913724, -90.27445194571675 38.67064281633994, -90.27324022840533 38.67064281633994, -90.27324022840533 38.66943747913724, -90.27445194571675 38.66943747913724))"
2919,"POLYGON ((-90.27445194571675 38.67064281633994, -90.27445194571675 38.67184815354265, -90.27324022840533 38.67184815354265, -90.27324022840533 38.67064281633994, -90.27445194571675 38.67064281633994))"
2920,"POLYGON ((-90.27445194571675 38.67184815354265, -90.27445194571675 38.67305349074536, -90.27324022840533 38.67305349074536, -90.27324022840533 38.67184815354265, -90.27445194571675 38.67184815354265))"
2921,"POLYGON ((-90.27445194571675 38.67305349074536, -90.27445194571675 38.67425882794807, -90.27324022840533 38.67425882794807, -90.27324022840533 38.67305349074536, -90.27445194571675 38.67305349074536))"
2922,"POLYGON ((-90.27445194571675 38.67425882794807, -90.27445194571675 38.67546416515077, -90.27324022840533 38.67546416515077, -90.27324022840533 38.67425882794807, -90.27445194571675 38.67425882794807))"
2923,"POLYGON ((-90.27445194571675 38.67546416515077, -90.27445194571675 38.67666950235348, -90.27324022840533 38.67666950235348, -90.27324022840533 38.67546416515077, -90.27445194571675 38.67546416515077))"
2924,"POLYGON ((-90.27445194571675 38.67666950235348, -90.27445194571675 38.67787483955618, -90.27324022840533 38.67787483955618, -90.27324022840533 38.67666950235348, -90.27445194571675 38.67666950235348))"
2925,"POLYGON ((-90.27445194571675 38.67787483955618, -90.27445194571675 38.67908017675889, -90.27324022840533 38.67908017675889, -90.27324022840533 38.67787483955618, -90.27445194571675 38.67787483955618))"
2926,"POLYGON ((-90.27445194571675 38.67908017675889, -90.27445194571675 38.68028551396159, -90.27324022840533 38.68028551396159, -90.27324022840533 38.67908017675889, -90.27445194571675 38.67908017675889))"
2927,"POLYGON ((-90.27445194571675 38.68028551396159, -90.27445194571675 38.6814908511643, -90.27324022840533 38.6814908511643, -90.27324022840533 38.68028551396159, -90.27445194571675 38.68028551396159))"
2928,"POLYGON ((-90.27445194571675 38.6814908511643, -90.27445194571675 38.682696188367, -90.27324022840533 38.682696188367, -90.27324022840533 38.6814908511643, -90.27445194571675 38.6814908511643))"
2929,"POLYGON ((-90.27445194571675 38.682696188367, -90.27445194571675 38.68390152556971, -90.27324022840533 38.68390152556971, -90.27324022840533 38.682696188367, -90.27445194571675 38.682696188367))"
2930,"POLYGON ((-90.27445194571675 38.68390152556971, -90.27445194571675 38.68510686277241, -90.27324022840533 38.68510686277241, -90.27324022840533 38.68390152556971, -90.27445194571675 38.68390152556971))"
2931,"POLYGON ((-90.27445194571675 38.68510686277241, -90.27445194571675 38.68631219997512, -90.27324022840533 38.68631219997512, -90.27324022840533 38.68510686277241, -90.27445194571675 38.68510686277241))"
2932,"POLYGON ((-90.27445194571675 38.68631219997512, -90.27445194571675 38.68751753717783, -90.27324022840533 38.68751753717783, -90.27324022840533 38.68631219997512, -90.27445194571675 38.68631219997512))"
2933,"POLYGON ((-90.27445194571675 38.68751753717783, -90.27445194571675 38.68872287438053, -90.27324022840533 38.68872287438053, -90.27324022840533 38.68751753717783, -90.27445194571675 38.68751753717783))"
2934,"POLYGON ((-90.27445194571675 38.68872287438053, -90.27445194571675 38.68992821158324, -90.27324022840533 38.68992821158324, -90.27324022840533 38.68872287438053, -90.27445194571675 38.68872287438053))"
