boundaries,geometry
24,"POLYGON ((-90.29972490678338 38.64372361881285, -90.29972490678338 38.65376809550206, -90.28933875839984 38.65376809550206, -90.28933875839984 38.64372361881285, -90.29972490678338 38.64372361881285))"
25,"POLYGON ((-90.29496245970898 38.66381257219128, -90.28933875839984 38.66381257219128, -90.28933875839984 38.65376809550206, -90.29972490678338 38.65376809550206, -90.29972490678338 38.6579390214611, -90.29938660284375 38.65831462958917, -90.29723427397883 38.66075612483136, -90.29705569946952 38.66097314537906, -90.29748779560677 38.66101032906272, -90.29689056179083 38.66171018400883, -90.29607155050357 38.66288594428668, -90.2950853034432 38.66346086300989, -90.29496245970898 38.66381257219128))"
26,"POLYGON ((-90.28933875839984 38.67132240796239, -90.28933875839984 38.66381257219128, -90.29496245970898 38.66381257219128, -90.29459137139683 38.6648750208975, -90.28998415185541 38.67029040201941, -90.28933875839984 38.67132240796239))"
27,"POLYGON ((-90.2827293717644 38.55332332860991, -90.27895261001629 38.55332332860991, -90.27895261001629 38.55090777337598, -90.27961644748099 38.55123653102316, -90.28010712196402 38.55176145487607, -90.2814559010282 38.55245820085683, -90.2827293717644 38.55332332860991))"
28,"POLYGON ((-90.28933875839984 38.55709369646344, -90.28933875839984 38.56336780529912, -90.27895261001629 38.56336780529912, -90.27895261001629 38.55332332860991, -90.2827293717644 38.55332332860991, -90.28433364388201 38.5544131850887, -90.28550021731562 38.55496883689909, -90.28630113091749 38.55524549740387, -90.28933875839984 38.55709369646344))"
29,"POLYGON ((-90.28933875839984 38.56336780529912, -90.28933875839984 38.57341228198834, -90.27895261001629 38.57341228198834, -90.27895261001629 38.56336780529912, -90.28933875839984 38.56336780529912))"
30,"POLYGON ((-90.28933875839984 38.57341228198834, -90.28933875839984 38.58345675867755, -90.27895261001629 38.58345675867755, -90.27895261001629 38.57341228198834, -90.28933875839984 38.57341228198834))"
31,"POLYGON ((-90.28933875839984 38.58345675867755, -90.28933875839984 38.59350123536677, -90.27895261001629 38.59350123536677, -90.27895261001629 38.58345675867755, -90.28933875839984 38.58345675867755))"
32,"POLYGON ((-90.28933875839984 38.59350123536677, -90.28933875839984 38.60354571205598, -90.27895261001629 38.60354571205598, -90.27895261001629 38.59350123536677, -90.28933875839984 38.59350123536677))"
33,"POLYGON ((-90.28933875839984 38.60354571205598, -90.28933875839984 38.6135901887452, -90.27895261001629 38.6135901887452, -90.27895261001629 38.60354571205598, -90.28933875839984 38.60354571205598))"
34,"POLYGON ((-90.28933875839984 38.6135901887452, -90.28933875839984 38.62363466543442, -90.27895261001629 38.62363466543442, -90.27895261001629 38.6135901887452, -90.28933875839984 38.6135901887452))"
35,"POLYGON ((-90.28933875839984 38.62363466543442, -90.28933875839984 38.63367914212363, -90.27895261001629 38.63367914212363, -90.27895261001629 38.62363466543442, -90.28933875839984 38.62363466543442))"
36,"POLYGON ((-90.28933875839984 38.63367914212363, -90.28933875839984 38.64372361881285, -90.27895261001629 38.64372361881285, -90.27895261001629 38.63367914212363, -90.28933875839984 38.63367914212363))"
37,"POLYGON ((-90.28933875839984 38.64372361881285, -90.28933875839984 38.65376809550206, -90.27895261001629 38.65376809550206, -90.27895261001629 38.64372361881285, -90.28933875839984 38.64372361881285))"
38,"POLYGON ((-90.28933875839984 38.65376809550206, -90.28933875839984 38.66381257219128, -90.27895261001629 38.66381257219128, -90.27895261001629 38.65376809550206, -90.28933875839984 38.65376809550206))"
39,"POLYGON ((-90.28735284635688 38.67385704888049, -90.27895261001629 38.67385704888049, -90.27895261001629 38.66381257219128, -90.28933875839984 38.66381257219128, -90.28933875839984 38.67132240796239, -90.28893247653612 38.67197206639054, -90.28756301751721 38.67355858544315, -90.28735284635688 38.67385704888049))"
40,"POLYGON ((-90.27936085497491 38.68390152556971, -90.27895261001629 38.68390152556971, -90.27895261001629 38.67385704888049, -90.28735284635688 38.67385704888049, -90.28679385518974 38.67465087056809, -90.28578441373163 38.67579174627516, -90.28455715322188 38.67745395899214, -90.28245906015762 38.68006213025586, -90.2812404108644 38.68166413533214, -90.27936085497491 38.68390152556971))"
41,"POLYGON ((-90.27895261001629 38.6843874931805, -90.27895261001629 38.68390152556971, -90.27936085497491 38.68390152556971, -90.27895261001629 38.6843874931805))"
42,"POLYGON ((-90.27102223203384 38.54327885192069, -90.26856646163273 38.54327885192069, -90.26856646163273 38.53689416253391, -90.26868141248275 38.53708261289421, -90.27068447727481 38.538601474614, -90.27152692195753 38.53954901834845, -90.27114730362112 38.54073299372116, -90.27050292839463 38.54144675465984, -90.27094153284966 38.54304596979299, -90.27102223203384 38.54327885192069))"
43,"POLYGON ((-90.27895261001629 38.55090777337598, -90.27895261001629 38.55332332860991, -90.26856646163273 38.55332332860991, -90.26856646163273 38.54327885192069, -90.27102223203384 38.54327885192069, -90.27172187338535 38.54529788059156, -90.27228286039357 38.54741958534344, -90.2730891377886 38.54881375272924, -90.27385516523178 38.54917340788342, -90.27509762685322 38.54943961100766, -90.27561467478655 38.54974490013976, -90.27761803823347 38.55024684249661, -90.27895261001629 38.55090777337598))"
44,"POLYGON ((-90.27895261001629 38.55332332860991, -90.27895261001629 38.56336780529912, -90.26856646163273 38.56336780529912, -90.26856646163273 38.55332332860991, -90.27895261001629 38.55332332860991))"
45,"POLYGON ((-90.27895261001629 38.56336780529912, -90.27895261001629 38.57341228198834, -90.26856646163273 38.57341228198834, -90.26856646163273 38.56336780529912, -90.27895261001629 38.56336780529912))"
46,"POLYGON ((-90.27895261001629 38.57341228198834, -90.27895261001629 38.58345675867755, -90.26856646163273 38.58345675867755, -90.26856646163273 38.57341228198834, -90.27895261001629 38.57341228198834))"
47,"POLYGON ((-90.27895261001629 38.58345675867755, -90.27895261001629 38.59350123536677, -90.26856646163273 38.59350123536677, -90.26856646163273 38.58345675867755, -90.27895261001629 38.58345675867755))"
48,"POLYGON ((-90.27895261001629 38.59350123536677, -90.27895261001629 38.60354571205598, -90.26856646163273 38.60354571205598, -90.26856646163273 38.59350123536677, -90.27895261001629 38.59350123536677))"
49,"POLYGON ((-90.27895261001629 38.60354571205598, -90.27895261001629 38.6135901887452, -90.26856646163273 38.6135901887452, -90.26856646163273 38.60354571205598, -90.27895261001629 38.60354571205598))"
50,"POLYGON ((-90.27895261001629 38.6135901887452, -90.27895261001629 38.62363466543442, -90.26856646163273 38.62363466543442, -90.26856646163273 38.6135901887452, -90.27895261001629 38.6135901887452))"
51,"POLYGON ((-90.27895261001629 38.62363466543442, -90.27895261001629 38.63367914212363, -90.26856646163273 38.63367914212363, -90.26856646163273 38.62363466543442, -90.27895261001629 38.62363466543442))"
52,"POLYGON ((-90.27895261001629 38.63367914212363, -90.27895261001629 38.64372361881285, -90.26856646163273 38.64372361881285, -90.26856646163273 38.63367914212363, -90.27895261001629 38.63367914212363))"
53,"POLYGON ((-90.27895261001629 38.64372361881285, -90.27895261001629 38.65376809550206, -90.26856646163273 38.65376809550206, -90.26856646163273 38.64372361881285, -90.27895261001629 38.64372361881285))"
54,"POLYGON ((-90.27895261001629 38.65376809550206, -90.27895261001629 38.66381257219128, -90.26856646163273 38.66381257219128, -90.26856646163273 38.65376809550206, -90.27895261001629 38.65376809550206))"
55,"POLYGON ((-90.27895261001629 38.66381257219128, -90.27895261001629 38.67385704888049, -90.26856646163273 38.67385704888049, -90.26856646163273 38.66381257219128, -90.27895261001629 38.66381257219128))"
56,"POLYGON ((-90.27895261001629 38.67385704888049, -90.27895261001629 38.68390152556971, -90.26856646163273 38.68390152556971, -90.26856646163273 38.67385704888049, -90.27895261001629 38.67385704888049))"
57,"POLYGON ((-90.27160583313228 38.69394600225893, -90.26856646163273 38.69394600225893, -90.26856646163273 38.68390152556971, -90.27895261001629 38.68390152556971, -90.27895261001629 38.6843874931805, -90.27887803812276 38.68447626224958, -90.27646681764261 38.68758022330618, -90.27160583313228 38.69394600225893))"
58,"POLYGON ((-90.26856646163273 38.69783546683418, -90.26856646163273 38.69394600225893, -90.27160583313228 38.69394600225893, -90.2709590188776 38.69479304807032, -90.26856646163273 38.69783546683418))"
59,"POLYGON ((-90.26856646163273 38.53689416253391, -90.26856646163273 38.54327885192069, -90.25818031324918 38.54327885192069, -90.25818031324918 38.53634339998217, -90.25860946380065 38.53560021922895, -90.25914585730941 38.53527283059869, -90.25989643224469 38.5343463083035, -90.26086479148658 38.53323437523147, -90.26228597764619 38.53388080890002, -90.26686021501483 38.53409694276697, -90.26856646163273 38.53689416253391))"
60,"POLYGON ((-90.26856646163273 38.54327885192069, -90.26856646163273 38.55332332860991, -90.25818031324918 38.55332332860991, -90.25818031324918 38.54327885192069, -90.26856646163273 38.54327885192069))"
61,"POLYGON ((-90.26856646163273 38.55332332860991, -90.26856646163273 38.56336780529912, -90.25818031324918 38.56336780529912, -90.25818031324918 38.55332332860991, -90.26856646163273 38.55332332860991))"
62,"POLYGON ((-90.26856646163273 38.56336780529912, -90.26856646163273 38.57341228198834, -90.25818031324918 38.57341228198834, -90.25818031324918 38.56336780529912, -90.26856646163273 38.56336780529912))"
63,"POLYGON ((-90.26856646163273 38.57341228198834, -90.26856646163273 38.58345675867755, -90.25818031324918 38.58345675867755, -90.25818031324918 38.57341228198834, -90.26856646163273 38.57341228198834))"
64,"POLYGON ((-90.26856646163273 38.58345675867755, -90.26856646163273 38.59350123536677, -90.25818031324918 38.59350123536677, -90.25818031324918 38.58345675867755, -90.26856646163273 38.58345675867755))"
65,"POLYGON ((-90.26856646163273 38.59350123536677, -90.26856646163273 38.60354571205598, -90.25818031324918 38.60354571205598, -90.25818031324918 38.59350123536677, -90.26856646163273 38.59350123536677))"
66,"POLYGON ((-90.26856646163273 38.60354571205598, -90.26856646163273 38.6135901887452, -90.25818031324918 38.6135901887452, -90.25818031324918 38.60354571205598, -90.26856646163273 38.60354571205598))"
67,"POLYGON ((-90.26856646163273 38.6135901887452, -90.26856646163273 38.62363466543442, -90.25818031324918 38.62363466543442, -90.25818031324918 38.6135901887452, -90.26856646163273 38.6135901887452))"
68,"POLYGON ((-90.26856646163273 38.62363466543442, -90.26856646163273 38.63367914212363, -90.25818031324918 38.63367914212363, -90.25818031324918 38.62363466543442, -90.26856646163273 38.62363466543442))"
69,"POLYGON ((-90.26856646163273 38.63367914212363, -90.26856646163273 38.64372361881285, -90.25818031324918 38.64372361881285, -90.25818031324918 38.63367914212363, -90.26856646163273 38.63367914212363))"
70,"POLYGON ((-90.26856646163273 38.64372361881285, -90.26856646163273 38.65376809550206, -90.25818031324918 38.65376809550206, -90.25818031324918 38.64372361881285, -90.26856646163273 38.64372361881285))"
71,"POLYGON ((-90.26856646163273 38.65376809550206, -90.26856646163273 38.66381257219128, -90.25818031324918 38.66381257219128, -90.25818031324918 38.65376809550206, -90.26856646163273 38.65376809550206))"
72,"POLYGON ((-90.26856646163273 38.66381257219128, -90.26856646163273 38.67385704888049, -90.25818031324918 38.67385704888049, -90.25818031324918 38.66381257219128, -90.26856646163273 38.66381257219128))"
73,"POLYGON ((-90.26856646163273 38.67385704888049, -90.26856646163273 38.68390152556971, -90.25818031324918 38.68390152556971, -90.25818031324918 38.67385704888049, -90.26856646163273 38.67385704888049))"
74,"POLYGON ((-90.26856646163273 38.68390152556971, -90.26856646163273 38.69394600225893, -90.25818031324918 38.69394600225893, -90.25818031324918 38.68390152556971, -90.26856646163273 38.68390152556971))"
75,"POLYGON ((-90.26368421733804 38.70399047894814, -90.25818031324918 38.70399047894814, -90.25818031324918 38.69394600225893, -90.26856646163273 38.69394600225893, -90.26856646163273 38.69783546683418, -90.2672375003955 38.69952539781211, -90.26618377434649 38.70074273981335, -90.26577485317178 38.7006720202899, -90.26567551825161 38.70089979890146, -90.26548933624217 38.70118806391267, -90.26496149351998 38.7021073311999, -90.26395567366683 38.70362854924902, -90.26368421733804 38.70399047894814))"
76,"POLYGON ((-90.25818031324918 38.71100672787675, -90.25818031324918 38.70399047894814, -90.26368421733804 38.70399047894814, -90.26242794409981 38.70566545406168, -90.25994856515926 38.70888676400116, -90.25878349375017 38.71021668015335, -90.25818031324918 38.71100672787675))"
77,"POLYGON ((-90.25818031324918 38.53634339998217, -90.25818031324918 38.54327885192069, -90.25323262512195 38.54327885192069, -90.25528941137462 38.54021177436675, -90.25553357858638 38.53953238064451, -90.25632193213546 38.5389955458641, -90.25684433604511 38.53817811974569, -90.25729300551951 38.53787999366617, -90.25818031324918 38.53634339998217))"
78,"POLYGON ((-90.25323262512195 38.54327885192069, -90.25818031324918 38.54327885192069, -90.25818031324918 38.55332332860991, -90.24779416486564 38.55332332860991, -90.24779416486564 38.55242650137644, -90.25014080670202 38.54991081766047, -90.25013447110094 38.54927959164081, -90.25071662322978 38.54826745176116, -90.25144062061982 38.54774091156518, -90.25177437385773 38.54706751634019, -90.25219706976726 38.54590756699069, -90.2521587700941 38.54488018343864, -90.25323262512195 38.54327885192069))"
79,"POLYGON ((-90.25818031324918 38.55332332860991, -90.25818031324918 38.56336780529912, -90.24779416486564 38.56336780529912, -90.24779416486564 38.55332332860991, -90.25818031324918 38.55332332860991))"
80,"POLYGON ((-90.25818031324918 38.56336780529912, -90.25818031324918 38.57341228198834, -90.24779416486564 38.57341228198834, -90.24779416486564 38.56336780529912, -90.25818031324918 38.56336780529912))"
81,"POLYGON ((-90.25818031324918 38.57341228198834, -90.25818031324918 38.58345675867755, -90.24779416486564 38.58345675867755, -90.24779416486564 38.57341228198834, -90.25818031324918 38.57341228198834))"
82,"POLYGON ((-90.25818031324918 38.58345675867755, -90.25818031324918 38.59350123536677, -90.24779416486564 38.59350123536677, -90.24779416486564 38.58345675867755, -90.25818031324918 38.58345675867755))"
83,"POLYGON ((-90.25818031324918 38.59350123536677, -90.25818031324918 38.60354571205598, -90.24779416486564 38.60354571205598, -90.24779416486564 38.59350123536677, -90.25818031324918 38.59350123536677))"
84,"POLYGON ((-90.25818031324918 38.60354571205598, -90.25818031324918 38.6135901887452, -90.24779416486564 38.6135901887452, -90.24779416486564 38.60354571205598, -90.25818031324918 38.60354571205598))"
85,"POLYGON ((-90.25818031324918 38.6135901887452, -90.25818031324918 38.62363466543442, -90.24779416486564 38.62363466543442, -90.24779416486564 38.6135901887452, -90.25818031324918 38.6135901887452))"
86,"POLYGON ((-90.25818031324918 38.62363466543442, -90.25818031324918 38.63367914212363, -90.24779416486564 38.63367914212363, -90.24779416486564 38.62363466543442, -90.25818031324918 38.62363466543442))"
87,"POLYGON ((-90.25818031324918 38.63367914212363, -90.25818031324918 38.64372361881285, -90.24779416486564 38.64372361881285, -90.24779416486564 38.63367914212363, -90.25818031324918 38.63367914212363))"
88,"POLYGON ((-90.25818031324918 38.64372361881285, -90.25818031324918 38.65376809550206, -90.24779416486564 38.65376809550206, -90.24779416486564 38.64372361881285, -90.25818031324918 38.64372361881285))"
89,"POLYGON ((-90.25818031324918 38.65376809550206, -90.25818031324918 38.66381257219128, -90.24779416486564 38.66381257219128, -90.24779416486564 38.65376809550206, -90.25818031324918 38.65376809550206))"
90,"POLYGON ((-90.25818031324918 38.66381257219128, -90.25818031324918 38.67385704888049, -90.24779416486564 38.67385704888049, -90.24779416486564 38.66381257219128, -90.25818031324918 38.66381257219128))"
91,"POLYGON ((-90.25818031324918 38.67385704888049, -90.25818031324918 38.68390152556971, -90.24779416486564 38.68390152556971, -90.24779416486564 38.67385704888049, -90.25818031324918 38.67385704888049))"
92,"POLYGON ((-90.25818031324918 38.68390152556971, -90.25818031324918 38.69394600225893, -90.24779416486564 38.69394600225893, -90.24779416486564 38.68390152556971, -90.25818031324918 38.68390152556971))"
93,"POLYGON ((-90.25818031324918 38.69394600225893, -90.25818031324918 38.70399047894814, -90.24779416486564 38.70399047894814, -90.24779416486564 38.69394600225893, -90.25818031324918 38.69394600225893))"
94,"POLYGON ((-90.25564487115861 38.71403495563736, -90.24779416486564 38.71403495563736, -90.24779416486564 38.70399047894814, -90.25818031324918 38.70399047894814, -90.25818031324918 38.71100672787675, -90.25761481633855 38.71174741751461, -90.25606372100204 38.71350148209626, -90.25582132433114 38.71384617935329, -90.25564487115861 38.71403495563736))"
95,"POLYGON ((-90.24779416486564 38.72053190303716, -90.24779416486564 38.71403495563736, -90.25564487115861 38.71403495563736, -90.25395668951145 38.71584103627401, -90.25251136954306 38.71804526693885, -90.25175427007144 38.71893291127753, -90.24779416486564 38.72053190303716))"
96,"POLYGON ((-90.24779416486564 38.55242650137644, -90.24779416486564 38.55332332860991, -90.24695760012075 38.55332332860991, -90.24779416486564 38.55242650137644))"
97,"POLYGON ((-90.24695760012075 38.55332332860991, -90.24779416486564 38.55332332860991, -90.24779416486564 38.56336780529912, -90.23878922131017 38.56336780529912, -90.24000126856956 38.56193432680626, -90.24029640144157 38.56105496457497, -90.24188317652009 38.55945296435385, -90.2452004605 38.55596704297595, -90.24538960106335 38.55524714739141, -90.24659086759179 38.55371647895647, -90.24695760012075 38.55332332860991))"
98,"POLYGON ((-90.23878922131017 38.56336780529912, -90.24779416486564 38.56336780529912, -90.24779416486564 38.57341228198834, -90.23740801648208 38.57341228198834, -90.23740801648208 38.56500134508066, -90.23878922131017 38.56336780529912))"
99,"POLYGON ((-90.24779416486564 38.57341228198834, -90.24779416486564 38.58345675867755, -90.23740801648208 38.58345675867755, -90.23740801648208 38.57341228198834, -90.24779416486564 38.57341228198834))"
100,"POLYGON ((-90.24779416486564 38.58345675867755, -90.24779416486564 38.59350123536677, -90.23740801648208 38.59350123536677, -90.23740801648208 38.58345675867755, -90.24779416486564 38.58345675867755))"
101,"POLYGON ((-90.24779416486564 38.59350123536677, -90.24779416486564 38.60354571205598, -90.23740801648208 38.60354571205598, -90.23740801648208 38.59350123536677, -90.24779416486564 38.59350123536677))"
102,"POLYGON ((-90.24779416486564 38.60354571205598, -90.24779416486564 38.6135901887452, -90.23740801648208 38.6135901887452, -90.23740801648208 38.60354571205598, -90.24779416486564 38.60354571205598))"
103,"POLYGON ((-90.24779416486564 38.6135901887452, -90.24779416486564 38.62363466543442, -90.23740801648208 38.62363466543442, -90.23740801648208 38.6135901887452, -90.24779416486564 38.6135901887452))"
104,"POLYGON ((-90.24779416486564 38.62363466543442, -90.24779416486564 38.63367914212363, -90.23740801648208 38.63367914212363, -90.23740801648208 38.62363466543442, -90.24779416486564 38.62363466543442))"
105,"POLYGON ((-90.24779416486564 38.63367914212363, -90.24779416486564 38.64372361881285, -90.23740801648208 38.64372361881285, -90.23740801648208 38.63367914212363, -90.24779416486564 38.63367914212363))"
106,"POLYGON ((-90.24779416486564 38.64372361881285, -90.24779416486564 38.65376809550206, -90.23740801648208 38.65376809550206, -90.23740801648208 38.64372361881285, -90.24779416486564 38.64372361881285))"
107,"POLYGON ((-90.24779416486564 38.65376809550206, -90.24779416486564 38.66381257219128, -90.23740801648208 38.66381257219128, -90.23740801648208 38.65376809550206, -90.24779416486564 38.65376809550206))"
108,"POLYGON ((-90.24779416486564 38.66381257219128, -90.24779416486564 38.67385704888049, -90.23740801648208 38.67385704888049, -90.23740801648208 38.66381257219128, -90.24779416486564 38.66381257219128))"
109,"POLYGON ((-90.24779416486564 38.67385704888049, -90.24779416486564 38.68390152556971, -90.23740801648208 38.68390152556971, -90.23740801648208 38.67385704888049, -90.24779416486564 38.67385704888049))"
110,"POLYGON ((-90.24779416486564 38.68390152556971, -90.24779416486564 38.69394600225893, -90.23740801648208 38.69394600225893, -90.23740801648208 38.68390152556971, -90.24779416486564 38.68390152556971))"
111,"POLYGON ((-90.24779416486564 38.69394600225893, -90.24779416486564 38.70399047894814, -90.23740801648208 38.70399047894814, -90.23740801648208 38.69394600225893, -90.24779416486564 38.69394600225893))"
112,"POLYGON ((-90.24779416486564 38.70399047894814, -90.24779416486564 38.71403495563736, -90.23740801648208 38.71403495563736, -90.23740801648208 38.70399047894814, -90.24779416486564 38.70399047894814))"
113,"POLYGON ((-90.23824664743159 38.72407943232658, -90.23740801648208 38.72407943232658, -90.23740801648208 38.71403495563736, -90.24779416486564 38.71403495563736, -90.24779416486564 38.72053190303716, -90.24700992950898 38.72084855772377, -90.24365285660693 38.72222864001006, -90.24079222004092 38.72320563051727, -90.2398925514475 38.72328905556334, -90.23878335301376 38.72369961591839, -90.23824664743159 38.72407943232658))"
114,"POLYGON ((-90.23740801648208 38.72458676437672, -90.23740801648208 38.72407943232658, -90.23824664743159 38.72407943232658, -90.23769397108806 38.72447055094108, -90.23740801648208 38.72458676437672))"
115,"POLYGON ((-90.23740801648208 38.56500134508066, -90.23740801648208 38.57341228198834, -90.23022007451159 38.57341228198834, -90.23029875849099 38.57328562371304, -90.23286689429509 38.57122277119674, -90.2346057378946 38.56869377080043, -90.23725274428496 38.56518498425264, -90.23740801648208 38.56500134508066))"
116,"POLYGON ((-90.23022007451159 38.57341228198834, -90.23740801648208 38.57341228198834, -90.23740801648208 38.58345675867755, -90.22702186809853 38.58345675867755, -90.22702186809853 38.57547648378802, -90.2285474151482 38.57415487284291, -90.22995220796126 38.57384346906778, -90.23022007451159 38.57341228198834))"
117,"POLYGON ((-90.23740801648208 38.58345675867755, -90.23740801648208 38.59350123536677, -90.22702186809853 38.59350123536677, -90.22702186809853 38.58345675867755, -90.23740801648208 38.58345675867755))"
118,"POLYGON ((-90.23740801648208 38.59350123536677, -90.23740801648208 38.60354571205598, -90.22702186809853 38.60354571205598, -90.22702186809853 38.59350123536677, -90.23740801648208 38.59350123536677))"
119,"POLYGON ((-90.23740801648208 38.60354571205598, -90.23740801648208 38.6135901887452, -90.22702186809853 38.6135901887452, -90.22702186809853 38.60354571205598, -90.23740801648208 38.60354571205598))"
120,"POLYGON ((-90.23740801648208 38.6135901887452, -90.23740801648208 38.62363466543442, -90.22702186809853 38.62363466543442, -90.22702186809853 38.6135901887452, -90.23740801648208 38.6135901887452))"
