boundaries,geometry
0,"POLYGON ((-90.31556480311529 38.58345675867755, -90.31011105516694 38.58345675867755, -90.31011105516694 38.57535377207486, -90.31068327168813 38.57590247313001, -90.31359941423757 38.57883113970409, -90.3141529121995 38.58019516156185, -90.31437329668736 38.58109320329873, -90.31479880453291 38.58170123763792, -90.31556480311529 38.58345675867755))"
1,"POLYGON ((-90.32032314215149 38.59350123536677, -90.31011105516694 38.59350123536677, -90.31011105516694 38.58345675867755, -90.31556480311529 38.58345675867755, -90.31597670013299 38.58440074721403, -90.31919958805516 38.59123386056623, -90.31970523085019 38.5924443812338, -90.32016851525175 38.59301345397758, -90.32032314215149 38.59350123536677))"
2,"POLYGON ((-90.31674528578843 38.60354571205598, -90.31011105516694 38.60354571205598, -90.31011105516694 38.59350123536677, -90.32032314215149 38.59350123536677, -90.32049720355049 38.59405032424549, -90.31874382515858 38.59856477476851, -90.31891541725282 38.59877857793536, -90.31845542312034 38.59914061495023, -90.3174850368447 38.60180881485617, -90.31677053959899 38.60345838984476, -90.31674528578843 38.60354571205598))"
3,"POLYGON ((-90.31270901576225 38.6135901887452, -90.31011105516694 38.6135901887452, -90.31011105516694 38.60354571205598, -90.31674528578843 38.60354571205598, -90.31638440212606 38.60479356965414, -90.31544208494732 38.60710863121815, -90.31429507513471 38.60975689412891, -90.31367671107898 38.61114736755478, -90.31270901576225 38.6135901887452))"
4,"POLYGON ((-90.31011105516694 38.62118420637832, -90.31011105516694 38.6135901887452, -90.31270901576225 38.6135901887452, -90.3126994809185 38.61361425822034, -90.31071278160356 38.61810831609037, -90.31011105516694 38.62118420637832))"
5,"POLYGON ((-90.30808635940083 38.57341228198834, -90.29972490678338 38.57341228198834, -90.29972490678338 38.56512833265056, -90.30207568172194 38.56743855800941, -90.30552020894582 38.5709515885092, -90.30808635940083 38.57341228198834))"
6,"POLYGON ((-90.31011105516694 38.57535377207486, -90.31011105516694 38.58345675867755, -90.29972490678338 38.58345675867755, -90.29972490678338 38.57341228198834, -90.30808635940083 38.57341228198834, -90.31011105516694 38.57535377207486))"
7,"POLYGON ((-90.31011105516694 38.58345675867755, -90.31011105516694 38.59350123536677, -90.29972490678338 38.59350123536677, -90.29972490678338 38.58345675867755, -90.31011105516694 38.58345675867755))"
8,"POLYGON ((-90.31011105516694 38.59350123536677, -90.31011105516694 38.60354571205598, -90.29972490678338 38.60354571205598, -90.29972490678338 38.59350123536677, -90.31011105516694 38.59350123536677))"
9,"POLYGON ((-90.31011105516694 38.60354571205598, -90.31011105516694 38.6135901887452, -90.29972490678338 38.6135901887452, -90.29972490678338 38.60354571205598, -90.31011105516694 38.60354571205598))"
10,"POLYGON ((-90.30962973980895 38.62363466543442, -90.29972490678338 38.62363466543442, -90.29972490678338 38.6135901887452, -90.31011105516694 38.6135901887452, -90.31011105516694 38.62118420637832, -90.30967203525283 38.62342837749639, -90.30962973980895 38.62363466543442))"
11,"POLYGON ((-90.30630697533225 38.63367914212363, -90.29972490678338 38.63367914212363, -90.29972490678338 38.62363466543442, -90.30962973980895 38.62363466543442, -90.30919633830969 38.62574849835413, -90.30879743369763 38.62927073354577, -90.30853022383926 38.63072742053295, -90.30790591092557 38.63196030347643, -90.30637404523125 38.63340330721806, -90.30630697533225 38.63367914212363))"
12,"POLYGON ((-90.30428775307259 38.64372361881285, -90.29972490678338 38.64372361881285, -90.29972490678338 38.63367914212363, -90.30630697533225 38.63367914212363, -90.30586637607132 38.63549117192127, -90.30553558506605 38.63836366143031, -90.30483142945448 38.64165277779981, -90.30437174571598 38.64356529637784, -90.30428775307259 38.64372361881285))"
13,"POLYGON ((-90.30218280361794 38.65376809550206, -90.29972490678338 38.65376809550206, -90.29972490678338 38.64372361881285, -90.30428775307259 38.64372361881285, -90.30331239301925 38.64556212957287, -90.30263192309317 38.64642398406679, -90.30269568003541 38.64866414356502, -90.30270832282697 38.65026552974347, -90.30218280361794 38.65376809550206))"
14,"POLYGON ((-90.29972490678338 38.6579390214611, -90.29972490678338 38.65376809550206, -90.30218280361794 38.65376809550206, -90.30206108641408 38.65457933608683, -90.30182931720572 38.65502294694728, -90.30177048560022 38.65566788021735, -90.29972490678338 38.6579390214611))"
15,"POLYGON ((-90.29791140763236 38.56336780529912, -90.28933875839984 38.56336780529912, -90.28933875839984 38.55709369646344, -90.291108041081 38.55817019007777, -90.29352503763988 38.55980875909987, -90.29675206853489 38.56224879478645, -90.29791140763236 38.56336780529912))"
16,"POLYGON ((-90.29972490678338 38.56512833265056, -90.29972490678338 38.57341228198834, -90.28933875839984 38.57341228198834, -90.28933875839984 38.56336780529912, -90.29791140763236 38.56336780529912, -90.29914826054002 38.56456163323895, -90.29972490678338 38.56512833265056))"
17,"POLYGON ((-90.29972490678338 38.57341228198834, -90.29972490678338 38.58345675867755, -90.28933875839984 38.58345675867755, -90.28933875839984 38.57341228198834, -90.29972490678338 38.57341228198834))"
18,"POLYGON ((-90.29972490678338 38.58345675867755, -90.29972490678338 38.59350123536677, -90.28933875839984 38.59350123536677, -90.28933875839984 38.58345675867755, -90.29972490678338 38.58345675867755))"
19,"POLYGON ((-90.29972490678338 38.59350123536677, -90.29972490678338 38.60354571205598, -90.28933875839984 38.60354571205598, -90.28933875839984 38.59350123536677, -90.29972490678338 38.59350123536677))"
20,"POLYGON ((-90.29972490678338 38.60354571205598, -90.29972490678338 38.6135901887452, -90.28933875839984 38.6135901887452, -90.28933875839984 38.60354571205598, -90.29972490678338 38.60354571205598))"
21,"POLYGON ((-90.29972490678338 38.6135901887452, -90.29972490678338 38.62363466543442, -90.28933875839984 38.62363466543442, -90.28933875839984 38.6135901887452, -90.29972490678338 38.6135901887452))"
22,"POLYGON ((-90.29972490678338 38.62363466543442, -90.29972490678338 38.63367914212363, -90.28933875839984 38.63367914212363, -90.28933875839984 38.62363466543442, -90.29972490678338 38.62363466543442))"
23,"POLYGON ((-90.29972490678338 38.63367914212363, -90.29972490678338 38.64372361881285, -90.28933875839984 38.64372361881285, -90.28933875839984 38.63367914212363, -90.29972490678338 38.63367914212363))"
