"GEO_ID","NAME","P001001","P001002","P001003","P001004","P001005","P001006","P001007","P001008","P001009","P001010","P001011","P001012","P001013","P001014","P001015","P001016","P001017","P001018","P001019","P001020","P001021","P001022","P001023","P001024","P001025","P001026","P001027","P001028","P001029","P001030","P001031","P001032","P001033","P001034","P001035","P001036","P001037","P001038","P001039","P001040","P001041","P001042","P001043","P001044","P001045","P001046","P001047","P001048","P001049","P001050","P001051","P001052","P001053","P001054","P001055","P001056","P001057","P001058","P001059","P001060","P001061","P001062","P001063","P001064","P001065","P001066","P001067","P001068","P001069","P001070","P001071"
"1400000US29510107200","Census Tract 1072, St. Louis city, Missouri","1342","1322","20","1302","0","0","0","0","20","12","3","0","0","0","0","6","3","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0"
"1400000US29510107300","Census Tract 1073, St. Louis city, Missouri","4983","4933","54","4869","2","4","0","4","50","42","22","0","0","0","0","7","4","4","4","0","0","0","0","1","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510107500","Census Tract 1075, St. Louis city, Missouri","2711","2684","37","2639","4","0","3","1","27","27","12","5","1","0","0","6","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510107600","Census Tract 1076, St. Louis city, Missouri","2225","2210","7","2199","4","0","0","0","15","9","4","0","0","0","0","5","0","0","0","0","0","0","0","0","0","6","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510108100","Census Tract 1081, St. Louis city, Missouri","3403","3358","142","3197","3","2","1","13","45","42","23","0","0","0","0","17","2","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510108200","Census Tract 1082, St. Louis city, Missouri","2698","2686","99","2581","3","0","0","3","12","9","5","0","0","0","0","1","1","0","2","0","0","0","0","0","0","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510108300","Census Tract 1083, St. Louis city, Missouri","2267","2222","123","2090","2","0","0","7","45","31","24","0","0","0","0","4","3","0","0","0","0","0","0","0","0","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510109600","Census Tract 1096, St. Louis city, Missouri","3316","3269","16","3238","10","2","1","2","47","41","19","0","0","0","0","14","3","1","4","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510109700","Census Tract 1097, St. Louis city, Missouri","2487","2441","115","2297","11","14","0","4","46","37","20","4","0","0","0","4","3","0","4","0","0","0","0","2","0","9","8","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US29510110100","Census Tract 1101, St. Louis city, Missouri","2984","2942","34","2887","5","1","0","15","42","32","9","0","0","0","0","18","2","0","2","0","0","0","0","1","0","10","1","0","0","2","0","0","0","0","0","0","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
